Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
HNRNPM,0.0895225038481676,0.961867740728424,0.294,0.978,0.2044774961518324,ambiguous
U2AF1,-0.112746930421502,0.962191883486586,0.869,0.883,0.981746930421502,ambiguous
RPN1,0.10047655788511745,0.965326232959849,0.302,0.974,0.20152344211488254,ambiguous
PSMD1,-0.08639331175219009,0.966291849801587,-0.226,0.962,-0.13960668824780992,ambiguous
SNAP25,-0.1685855538100568,0.968442735547755,-0.15,0.977,0.018585553810056804,ambiguous
PITPNA,-0.13916922476954213,0.969708925521476,0.462,0.962,0.6011692247695422,ambiguous
NPEPPS,-0.0662249158472255,0.969835643723773,-0.155,0.98,-0.0887750841527745,ambiguous
VPS41,0.16397703978933065,0.973871093366792,-0.802,0.909,-0.9659770397893307,ambiguous
RAB1A,-0.06889375148933585,0.972948511437447,1.24,0.858,1.308893751489336,ambiguous
GOT1,0.18548633623419536,0.974442506986673,-0.285,0.982,-0.47048633623419533,ambiguous
ABAT,-0.030004218110633002,0.974442506986673,0.207,0.981,0.237004218110633,ambiguous
EIF4H,0.027666924414838104,0.974442506986673,0.266,0.978,0.23833307558516192,ambiguous
DNAJA1,0.1812427459061876,0.980203036448837,-0.116,0.981,-0.2972427459061876,ambiguous
AKR1B1,0.08838959215498654,0.984840445861504,-0.0889,0.983,-0.17728959215498655,ambiguous
EMD,0.21954744713995003,0.989208389819316,0.186,0.973,-0.03354744713995003,ambiguous
STIP1,-0.22192017356803448,0.995480409940824,-0.0128,0.986,0.20912017356803447,ambiguous
PSMD7,-0.0387236609869593,0.99253854286359,-0.325,0.926,-0.2862763390130407,ambiguous
RPS17,0.0732368807069539,0.99253854286359,-0.835,0.962,-0.9082368807069539,ambiguous
PSMD14,-0.16325086159727037,0.993799484291645,-0.152,0.976,0.011250861597270373,ambiguous
PTGES3,0.1061092024309558,0.996550985329458,-0.233,0.968,-0.3391092024309558,ambiguous
MYH9,0.27955539885929803,0.996550985329458,0.745,0.54,0.46544460114070196,ambiguous
ARL3,0.1453684839631523,0.996550985329458,-0.0312,0.984,-0.1765684839631523,ambiguous
ADAM10,0.21835090044948402,0.996892726466426,0.215,0.982,-0.0033509004494840233,ambiguous
CANX,-0.017524411773558252,0.996892726466426,0.0246,0.985,0.04212441177355825,ambiguous
FARSA,-0.15457971316884866,0.998841152045063,-0.322,0.947,-0.16742028683115134,ambiguous
XRCC5,0.1136786851906899,0.998841152045063,0.196,0.98,0.08232131480931011,ambiguous
COPS2,-0.1297762129058951,0.999156409015974,-0.106,0.984,0.023776212905895114,ambiguous
PPP2R4,0.0785229673220095,1.0,-2.28,0.931,-2.3585229673220094,ambiguous
PRKAR1A,-0.052195265199157806,1.0,-0.256,0.959,-0.2038047348008422,ambiguous
ACADSB,-0.005526235796569551,1.0,0.143,0.983,0.14852623579656954,ambiguous
UQCRC1,0.002747821644022,1.0,0.0538,0.984,0.051052178355978,ambiguous
EEF2,-0.0018927760836700974,1.0,0.112,0.98,0.1138927760836701,ambiguous
GPI,0.021138967899033,1.0,-0.556,0.904,-0.5771389678990331,ambiguous
ATP5B,0.021786734851905448,1.0,-0.214,0.966,-0.23578673485190543,ambiguous
CDH2,-0.1433834615604812,1.0,0.204,0.98,0.34738346156048117,ambiguous
ATP6V1E1,0.04417967284789715,1.0,0.0508,0.984,0.0066203271521028464,ambiguous
SLC25A3,0.06864952237272726,1.0,-0.352,0.975,-0.42064952237272724,ambiguous
PDE1C,-0.21063394558320298,1.0,-1.46,0.712,-1.249366054416797,ambiguous
ACADM,-0.022022244222749156,1.0,-0.606,0.949,-0.5839777557772509,ambiguous
TSC1,-0.1391053304714284,1.0,0.0603,0.984,0.1994053304714284,ambiguous
STAT1,0.15097577352174896,1.0,-0.182,0.972,-0.33297577352174895,ambiguous
VDAC2,-0.01318065940108705,1.0,-0.404,0.959,-0.390819340598913,ambiguous
DNM1,-0.1319504929928864,1.0,-0.519,0.709,-0.3870495070071136,ambiguous
ARPC1A,-0.1399761953380983,1.0,-0.242,0.939,-0.1020238046619017,ambiguous
CHD4,0.1677675099281584,1.0,0.38,0.975,0.2122324900718416,ambiguous
RAD50,-0.10503504561599625,1.0,0.211,0.98,0.31603504561599627,ambiguous
AP2M1,-0.002982947524232553,1.0,-0.659,0.581,-0.6560170524757675,ambiguous
PIK3R1,-0.031621065747197,1.0,-0.27,0.979,-0.23837893425280302,ambiguous
FECH,-0.11747442947757936,1.0,0.233,0.982,0.35047442947757934,ambiguous
PCMT1,0.0182862847275629,1.0,0.4,0.954,0.38171371527243714,ambiguous
MUT,-0.014986691308426,1.0,0.419,0.948,0.433986691308426,ambiguous
CETN2,0.1673381869225845,1.0,-0.298,0.976,-0.4653381869225845,ambiguous
MRPS27,-0.1407811348743295,1.0,1.31,0.683,1.4507811348743296,ambiguous
MTHFD1,0.03644812021666749,1.0,-0.373,0.942,-0.4094481202166675,ambiguous
UGP2,-0.03463598494553521,1.0,-0.361,0.978,-0.3263640150544648,ambiguous
PRELP,0.2185001554604355,1.0,0.979,0.928,0.7604998445395645,ambiguous
CRYM,-0.3182523296995295,1.0,0.648,0.965,0.9662523296995296,ambiguous
SMS,-0.052133259292253,1.0,-0.35,0.98,-0.297866740707747,ambiguous
XRCC6,0.048862787334701,1.0,0.0367,0.985,-0.012162787334700997,ambiguous
DOCK1,0.36264505827326643,1.0,0.221,0.979,-0.14164505827326643,ambiguous
ATP6V0D1,-0.2372259390641015,1.0,-0.0829,0.984,0.1543259390641015,ambiguous
GPD1L,0.07707276390637391,1.0,-0.503,0.971,-0.5800727639063739,ambiguous
SPARCL1,0.03610983297288705,1.0,0.391,0.975,0.35489016702711296,ambiguous
SLC1A2,0.10521867758319835,1.0,0.0676,0.983,-0.037618677583198354,ambiguous
PSMD12,0.0051475347731841994,1.0,-0.931,0.881,-0.9361475347731842,ambiguous
TNR,0.014033581984015352,1.0,0.536,0.944,0.5219664180159846,ambiguous
ARHGDIA,-0.0403398310438882,1.0,0.436,0.971,0.4763398310438882,ambiguous
GAPDH,0.022035821390228746,1.0,0.259,0.969,0.23696417860977126,ambiguous
TNPO1,0.06903470102097779,1.0,-0.395,0.978,-0.4640347010209778,ambiguous
EPRS,0.039425346140061504,1.0,-0.0721,0.983,-0.1115253461400615,ambiguous
ATP2B1,-0.0788424136701625,1.0,-0.195,0.967,-0.11615758632983751,ambiguous
CA2,0.5978469543735235,1.0,0.809,0.959,0.21115304562647652,concordant_up
PSMD11,-0.0237938201432727,1.0,-0.409,0.973,-0.3852061798567273,ambiguous
NARS,-0.012892295118417151,1.0,-0.261,0.981,-0.24810770488158285,ambiguous
EZR,0.2042229008711344,1.0,-0.633,0.861,-0.8372229008711344,ambiguous
CBS,0.1245644822975252,1.0,-0.634,0.957,-0.7585644822975253,ambiguous
LAMA2,0.6708382732382425,1.0,0.806,0.96,0.13516172676175753,concordant_up
CCT6A,-0.032091417291765,1.0,-0.399,0.888,-0.366908582708235,ambiguous
DSTN,0.030890002464838598,1.0,-0.252,0.97,-0.2828900024648386,ambiguous
PPP2R1A,0.0036559108462721496,1.0,-0.356,0.909,-0.35965591084627213,ambiguous
AVL9,-0.016583154269461796,1.0,0.413,0.965,0.42958315426946175,ambiguous
SLC25A4,-0.029692321933198398,1.0,0.0754,0.982,0.1050923219331984,ambiguous
CLTC,-0.02691133505551745,1.0,-0.408,0.916,-0.3810886649444825,ambiguous
SDHA,-0.03482844579635405,1.0,-0.0334,0.985,0.0014284457963540526,ambiguous
EIF2B2,0.05522043807632915,1.0,-0.243,0.982,-0.29822043807632914,ambiguous
COPB1,0.020840982817770002,1.0,0.304,0.951,0.28315901718222997,ambiguous
STX4,0.2264500777903422,1.0,0.129,0.983,-0.0974500777903422,ambiguous
TPM4,0.27711091750015554,1.0,0.997,0.455,0.7198890824998445,ambiguous
PDHA1,0.00044935457849494976,1.0,0.459,0.966,0.4585506454215051,ambiguous
USP14,-0.0469844870151652,1.0,-0.381,0.963,-0.3340155129848348,ambiguous
DUSP3,-0.020490352025451,1.0,-0.295,0.975,-0.27450964797454896,ambiguous
TRIM25,1.250059429815225,1.0,0.474,0.94,-0.776059429815225,ambiguous
CTSB,0.01365575758732685,1.0,-0.096,0.984,-0.10965575758732685,ambiguous
RAP1GAP,0.0032209292124742,1.0,-0.496,0.96,-0.4992209292124742,ambiguous
PRKAR2A,-0.0644870878042155,1.0,0.254,0.977,0.31848708780421553,ambiguous
CRKL,0.0420086943373965,1.0,-0.0024,0.986,-0.0444086943373965,ambiguous
PRKCE,0.0297049267785545,1.0,-0.607,0.858,-0.6367049267785545,ambiguous
GUCY1A2,-0.1455703802310386,1.0,0.093,0.983,0.2385703802310386,ambiguous
SH3GL2,-0.02169375356485205,1.0,-0.698,0.886,-0.6763062464351479,ambiguous
