Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,mRNA_logFC_833,mRNA_logFC_76220,mRNA_adjPval_833,mRNA_adjPval_76220
ZNHIT3,-0.20399395230697,0.807047736621718,-0.492390689998398,0.084402785384458,0.540732049635059,0.807047736621718
FUS,-0.21807803673743298,0.540732049635059,-0.539616961969848,0.103460888494982,0.540732049635059,0.352425493086011
ANXA2,0.38728987754881594,0.822136144276097,0.796180144165991,-0.0216003890683591,0.541062622383624,0.822136144276097
CCT2,0.7903884228237109,0.911370275079141,1.56941346044004,0.0113633852073818,0.541062622383624,0.911370275079141
DLGAP1,-1.2252633629859628,0.541062622383624,-2.13896255354863,-0.311564172423296,0.541062622383624,0.455983147757452
HEXB,1.0126655035529146,0.541062622383624,1.77310673685658,0.252224270249249,0.541062622383624,0.329218250882411
DNAJB4,-0.975048527875107,0.767523205048551,-1.91660150581127,-0.033495549938944,0.54160105572807,0.767523205048551
BLVRB,0.25091704729963293,0.971510717576295,0.510807489533214,-0.0089733949339481,0.54160105572807,0.971510717576295
PURA,-0.3597616442105732,0.762761624656142,-0.771875104099498,0.0523518156783516,0.54160105572807,0.762761624656142
PPP2CA,-0.2104554912453256,0.932784546954909,-0.405392341420868,-0.0155186410697832,0.54160105572807,0.932784546954909
ADRA1A,-0.7388294989417215,0.541852444234747,-0.939013813998486,-0.538645183884957,0.541852444234747,0.376779559804074
TP53BP2,-0.17915068569917503,0.541852444234747,-0.759863424109344,0.401562052710994,0.541852444234747,0.410251312591347
ERBB3,-0.9929772860690309,0.822136144276097,-2.36962075532096,0.383666183182898,0.541852444234747,0.822136144276097
XPO1,-0.19693928497289132,0.896308908562325,-0.412665042485148,0.0187864725393654,0.541852444234747,0.896308908562325
SEPW1,-0.17260434162614602,0.542471914688575,-0.446106259780553,0.100897576528261,0.542471914688575,0.345652450228548
CCT8,0.8365557666179974,0.822136144276097,1.64982667281994,0.0232848604160547,0.542471914688575,0.822136144276097
MTMR1,0.9634608955733798,0.996896294055364,1.93017374309242,-0.0032519519456604,0.542471914688575,0.996896294055364
