#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
C3	MYBPH	9606.ENSP00000245907	9606.ENSP00000255416	0	0	0	0	0	0	0	0.857	0.857
C3	HP	9606.ENSP00000245907	9606.ENSP00000348170	0	0	0	0	0.214	0.123	0	0.816	0.862
C3	LMLN	9606.ENSP00000245907	9606.ENSP00000410926	0	0	0	0	0	0	0	0.881	0.881
C3	ENSP00000493607	9606.ENSP00000245907	9606.ENSP00000493607	0	0	0	0	0.068	0.908	0	0.046	0.911
C3	MBL2	9606.ENSP00000245907	9606.ENSP00000363079	0	0	0	0	0.112	0	0.540	0.851	0.934
C3	CFHR2	9606.ENSP00000245907	9606.ENSP00000356385	0	0	0	0	0.068	0.405	0.500	0.846	0.951
C3	CR1L	9606.ENSP00000245907	9606.ENSP00000421736	0	0	0	0	0.057	0	0.900	0.675	0.966
C3	CFHR3	9606.ENSP00000245907	9606.ENSP00000356395	0	0	0	0	0.049	0.292	0.700	0.963	0.991
C3	CFHR5	9606.ENSP00000245907	9606.ENSP00000256785	0	0	0	0	0.086	0.292	0.500	0.979	0.992
C3	C5AR2	9606.ENSP00000245907	9606.ENSP00000472620	0	0	0	0	0	0.069	0.700	0.996	0.998
C3	CFHR4	9606.ENSP00000245907	9606.ENSP00000356386	0	0	0	0	0.068	0.789	0.500	0.985	0.998
C3	CFHR1	9606.ENSP00000245907	9606.ENSP00000314299	0	0	0	0	0.055	0.982	0.500	0.940	0.999
C3	ITGAM	9606.ENSP00000245907	9606.ENSP00000496959	0	0	0	0	0.054	0.926	0.900	0.915	0.999
C3	CR2	9606.ENSP00000245907	9606.ENSP00000356024	0	0	0	0	0.063	0.971	0.700	0.983	0.999
C3	VSIG4	9606.ENSP00000245907	9606.ENSP00000363869	0	0	0	0	0.087	0.937	0	0.998	0.999
CD163	HPX	9606.ENSP00000352071	9606.ENSP00000265983	0	0	0	0	0.044	0.092	0	0.927	0.931
CD163	CD209	9606.ENSP00000352071	9606.ENSP00000315477	0	0	0	0	0.205	0.091	0	0.671	0.741
CD163	HP	9606.ENSP00000352071	9606.ENSP00000348170	0	0	0	0	0.152	0.113	0.500	0.999	0.999
CD163	ITGAM	9606.ENSP00000352071	9606.ENSP00000496959	0	0	0	0	0.341	0.067	0	0.730	0.819
CD163	VSIG4	9606.ENSP00000352071	9606.ENSP00000363869	0	0	0	0	0.785	0	0	0.725	0.938
CD163	GP2	9606.ENSP00000352071	9606.ENSP00000370767	0	0	0	0	0.067	0.107	0	0.973	0.976
CD209	ITIH4	9606.ENSP00000315477	9606.ENSP00000266041	0	0	0	0	0.067	0.045	0	0.998	0.998
CD209	MBL2	9606.ENSP00000315477	9606.ENSP00000363079	0	0	0	0	0.060	0	0	0.834	0.837
CD209	ITGAM	9606.ENSP00000315477	9606.ENSP00000496959	0	0	0	0	0.082	0	0	0.960	0.961
CD209	CLEC4M	9606.ENSP00000315477	9606.ENSP00000316228	0	0	0.051	0.979	0.097	0.628	0.900	0.920	0.996
CD8B2	HLA-C	9606.ENSP00000496416	9606.ENSP00000365402	0	0	0	0	0	0.253	0.900	0	0.922
CFHR1	MYBPH	9606.ENSP00000314299	9606.ENSP00000255416	0	0	0	0	0	0	0	0.730	0.730
CFHR1	CFHR5	9606.ENSP00000314299	9606.ENSP00000256785	0	0	0	0.941	0.144	0.422	0.500	0.096	0.746
CFHR1	CFHR2	9606.ENSP00000314299	9606.ENSP00000356385	0	0	0.049	0.979	0.053	0.781	0.500	0.061	0.890
CFHR1	CFHR3	9606.ENSP00000314299	9606.ENSP00000356395	0	0	0.075	0.916	0.780	0	0.500	0.120	0.898
CFHR2	MYBPH	9606.ENSP00000356385	9606.ENSP00000255416	0	0	0	0	0	0	0	0.724	0.724
CFHR2	CFHR5	9606.ENSP00000356385	9606.ENSP00000256785	0	0	0	0.942	0.263	0	0.500	0.515	0.805
CFHR3	MYBPH	9606.ENSP00000356395	9606.ENSP00000255416	0	0	0	0	0	0	0	0.787	0.787
CFHR3	CFHR5	9606.ENSP00000356395	9606.ENSP00000256785	0	0	0	0.861	0.137	0	0.500	0.508	0.769
CFHR3	CFHR4	9606.ENSP00000356395	9606.ENSP00000356386	0	0	0.053	0.967	0.211	0	0.500	0.416	0.752
CFHR4	MYBPH	9606.ENSP00000356386	9606.ENSP00000255416	0	0	0	0	0	0	0	0.785	0.785
CFHR4	CFHR5	9606.ENSP00000356386	9606.ENSP00000256785	0	0	0.070	0.852	0.401	0	0.500	0.413	0.814
CFHR5	MYBPH	9606.ENSP00000256785	9606.ENSP00000255416	0	0	0	0	0	0	0	0.781	0.781
CLEC4M	ITIH4	9606.ENSP00000316228	9606.ENSP00000266041	0	0	0	0	0.067	0.045	0	0.968	0.969
CP	MPO	9606.ENSP00000264613	9606.ENSP00000225275	0	0	0	0	0.048	0.900	0	0.669	0.965
CP	TTR	9606.ENSP00000264613	9606.ENSP00000237014	0	0	0	0	0.097	0	0	0.817	0.827
CP	ORM1	9606.ENSP00000264613	9606.ENSP00000259396	0	0	0	0	0.127	0.232	0	0.895	0.923
CP	SERPINA3	9606.ENSP00000264613	9606.ENSP00000450540	0	0	0	0	0.217	0.229	0	0.730	0.822
