pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
BRD-K61331723,BRD-K61331723,A549,-0.235,-0.9441,0.0702,0.468245,,
EMF-sumo1-3,BRD-K94018295,HCC515,-0.235,-0.9441,0.0701,0.281937,,
BRD-K52801121,BRD-K52801121,VCAP,-0.2349,-0.9436,0.07,0.263685,,
BRD-K93623501,BRD-K93623501,HCC515,-0.2349,-0.9436,0.07,0.253241,,
apigenin,BRD-K12057390,HA1E,-0.2349,-0.9439,0.0701,0.200638,,
SA-424755,BRD-K85305147,MCF7,-0.2349,-0.9438,0.0701,0.336468,,
BRD-K86456986,BRD-K86456986,A549,-0.2349,-0.9436,0.07,0.22701,,
BRD-K74305673,BRD-K74305673,HAP1,-0.2349,-0.9435,0.07,0.474171,IKK inhibitor|NFKB inhibitor,
BRD-K37565594,BRD-K37565594,HCC515,-0.2349,-0.9435,0.07,0.37716,,
KIN001-127,BRD-A29901043,CD34,-0.2349,-0.9437,0.0701,0.313908,ITK inhibitor,ITK
cabergoline,BRD-K86882815,A549,-0.2349,-0.9437,0.0701,0.252894,Dopamine receptor agonist,DRD2|ADRA1A|ADRA2A|ADRA2B|ADRA2C|DRD1|DRD3|DRD4|DRD5|HTR1A|HTR1B|HTR1D|HTR2A|HTR2B|HTR2C|PRL|ADRA1B|ADRA1D|ADRB1|ADRB2|HTR7
BRD-K71380401,BRD-K71380401,MCF7,-0.2349,-0.9436,0.07,0.23615,,
filgotinib,BRD-K16803204,PC3,-0.2348,-0.9432,0.0697,0.259342,JAK inhibitor,JAK1|JAK2|JAK3|TYK2
BRD-K54889769,BRD-K54889769,U2OS,-0.2348,-0.9433,0.0699,0.295501,,
GSK-690693,BRD-K25325018,HCC515,-0.2348,-0.9434,0.0699,0.406,AKT inhibitor,AKT1|AKT2|AKT3|PAK4|PAK6|PAK7|PRKCQ|PRKG1|PRKX
D-4476,BRD-K09132007,HA1E,-0.2348,-0.9431,0.0696,0.249232,TGF-beta receptor inhibitor,CSNK1A1|CSNK1D|TGFB1
LY-165163,BRD-K14282469,HA1E,-0.2348,-0.9431,0.0696,0.265655,Serotonin receptor antagonist,HTR1A|HTR1D
buphenine,BRD-A36267905,HEPG2,-0.2348,-0.9431,0.0696,0.302748,Adrenergic receptor agonist,ADRB2
BRD-A66604020,BRD-A66604020,A375,-0.2348,-0.9432,0.0699,0.23326,,
BRD-K78809123,BRD-K78809123,U2OS,-0.2348,-0.9432,0.0698,0.261035,,
digoxin,BRD-A94756469,JURKAT,-0.2348,-0.9433,0.0699,0.474482,Na/K-ATPase inhibitor,ATP1A1|ABCB1|RORC|SLCO1B3
BRD-K58586013,BRD-K58586013,U2OS,-0.2348,-0.9433,0.0699,0.217134,,
cabozantinib,BRD-K51544265,YAPC,-0.2348,-0.9433,0.0699,0.6298,RET inhibitor|VEGFR inhibitor,KDR|MET|FLT3|KIT|RET|TEK|CYP2C19
BRD-K17686770,BRD-K17686770,U2OS,-0.2348,-0.9434,0.0699,0.343029,,
CEP-33779,BRD-K37237504,PC3,-0.2348,-0.9433,0.0699,0.233473,JAK inhibitor,JAK2
temoporfin,BRD-K63712959,HA1E,-0.2348,-0.9435,0.07,0.285538,Radical formation stimulant,
SKF-96365,BRD-A72703248,HA1E,-0.2347,-0.9431,0.0696,0.282227,Calcium channel blocker,CYP3A4|TRPC1|PKD2|TRPC3|TRPC4|TRPC5|TRPV2
