pert_iname,pert_id,cell_iname,raw_cs,norm_cs,fdr_q_nlog10,tas,moa,target_name
digitoxin,BRD-A93236127,U2OS,0.2473,1.0051,0.0868,0.340715,Na/K-ATPase inhibitor,ATP1A1
valrubicin,BRD-K72951360,HA1E,0.2474,1.0055,0.0869,0.357294,DNA inhibitor|Topoisomerase inhibitor,TOP2A
honokiol,BRD-K98493452,U2OS,0.2474,1.0054,0.0868,0.276567,AKT inhibitor,ALOX5|PTGS1|PTGS2
aripiprazole,BRD-K70358946,HT29,0.2474,1.0052,0.0868,0.327396,Serotonin receptor agonist|Serotonin receptor antagonist,DRD2|HTR1A|HTR2A|HRH1|HTR1B|HTR1D|HTR2C|ADRA1A|ADRA1B|ADRA2A|ADRA2B|ADRA2C|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD3|DRD4|DRD5|HTR1E|HTR3A|HTR6|HTR7
BRD-K04877770,BRD-K04877770,A375,0.2474,1.0053,0.0868,0.620871,Farnesyltransferase inhibitor,
ampalex,BRD-K24771047,MDAMB231,0.2474,1.0054,0.0869,0.20171,Glutamate receptor agonist,GRIA1|GRIA2|GRIA3|GRIA4
dinoprost,BRD-K81672972,MCF10A,0.2475,1.0056,0.087,0.200669,Prostacyclin analog,PTGFR|PTGDR|PTGER1|PTGER3|PTGER4|PTGDR2|PTGER2|PTGIR|TBXA2R
ZM-447439,BRD-K72703948,MCF7,0.2475,1.0058,0.0871,0.388208,Aurora kinase inhibitor,AURKA|AURKB
LGX-818,BRD-A56085258,HCT116,0.2475,1.0057,0.087,0.566344,RAF inhibitor,BRAF
phenacetin,BRD-K38323065,HPTEC,0.2475,1.0058,0.0871,0.282463,Cyclooxygenase inhibitor,PTGS1
erlotinib,BRD-K70401845,HPTEC,0.2475,1.0058,0.087,0.512642,EGFR inhibitor,EGFR|NR1I2
pazopanib,BRD-K74514084,THP1,0.2476,1.0062,0.0874,0.310139,VEGFR inhibitor|KIT inhibitor|PDGFR inhibitor,KDR|KIT|FLT1|FLT4|PDGFRB|PDGFRA|BRAF|CYP2B6|CYP2C8|CYP2E1|DDR2|CSF1R|FGF1|FGFR1|FGFR3|ITK|SH2B3
AG-14361,BRD-K00615600,A375,0.2476,1.0062,0.0874,0.27065,PARP inhibitor,PARP1
clopidogrel,BRD-K27721098,MCF7,0.2477,1.0065,0.0876,0.280009,Purinergic receptor antagonist,P2RY12|CYP2B6|CYP2C19|CYP3A5
amlexanox,BRD-K29530284,HUVEC,0.2477,1.0066,0.0879,0.255484,Histamine receptor antagonist,FGF1|IL3|PDE4A|PDE4B|PDE4C|PDE4D|S100A12|S100A13
ML-3163,BRD-K95202259,HEPG2,0.2477,1.0066,0.0878,0.290968,P38 MAPK inhibitor,MAPK14
