Gene_Symbol,mRNA_logFC_mean,mRNA_adjPval_max,protein_logFC,protein_adjPval,discordance_score,quadrant
DLG2,0.227486666,0.010965644,0.168,1,-0.059486665999999994,ambiguous
CACYBP,0.378701506,0.011483508,-0.235,1,-0.613701506,ambiguous
KIF2A,0.266233868,0.011822166,-0.65,1,-0.916233868,ambiguous
CAPRIN1,0.195589132,0.011875571,0.258,1,0.06241086800000001,ambiguous
COL4A3BP,0.30876979,0.01213765,0.394,1,0.08523021000000003,ambiguous
SUGT1,0.304906031,0.012180326,-0.229,1,-0.533906031,ambiguous
HSPA4,0.351172489,0.012190441,-0.304,1,-0.6551724889999999,ambiguous
ATP8A1,0.381628439,0.01230905,-0.143,1,-0.524628439,ambiguous
CAD,-0.290647999,0.01230905,0.498,1,0.7886479989999999,ambiguous
STK38L,0.310023117,0.012321161,0.396,1,0.085976883,ambiguous
SLMAP,0.170829958,0.012661445,-0.606,1,-0.776829958,ambiguous
SNX3,0.28424565,0.013027648,-0.293,1,-0.57724565,ambiguous
DNAJA1,0.422115187,0.013056557,0.352,1,-0.07011518700000002,ambiguous
WDR41,0.238097963,0.013536661,-0.46,1,-0.698097963,ambiguous
CSDE1,0.281292096,0.013632165,0.149,1,-0.132292096,ambiguous
BCKDHB,0.306158317,0.013681066,-0.147,1,-0.453158317,ambiguous
GNAZ,0.200323561,0.014312154,-0.262,1,-0.46232356100000005,ambiguous
OSBPL1A,0.269782154,0.014477315,-1.13,1,-1.399782154,ambiguous
HSP90AB1,0.301805654,0.014790258,-0.688,1,-0.989805654,ambiguous
PEA15,0.29525904,0.014795292,-0.849,1,-1.14425904,ambiguous
GOPC,0.263596443,0.014911809,-0.158,1,-0.421596443,ambiguous
PPP2R2A,0.249041907,0.014964488,-0.54,1,-0.7890419070000001,ambiguous
RABEP1,0.261131221,0.01500513,-0.316,1,-0.577131221,ambiguous
PPOX,-0.249149721,0.015068872,-0.046,1,0.203149721,ambiguous
EIF5,0.27572125,0.015070062,-0.412,1,-0.68772125,ambiguous
PIK3R1,0.31024718,0.015197813,1.28,1,0.9697528200000001,ambiguous
RUFY3,0.252787399,0.01587967,0.286,1,0.03321260099999995,ambiguous
TCP1,0.28929804,0.01626358,-0.41,1,-0.69929804,ambiguous
GSPT1,0.197818736,0.016321849,-0.217,1,-0.41481873599999997,ambiguous
STRN3,0.170041681,0.016321849,0.389,1,0.218958319,ambiguous
HSP90B1,0.370750517,0.016665913,-1.64,1,-2.010750517,ambiguous
EXOC6B,0.209408077,0.017032836,-0.918,1,-1.1274080770000001,ambiguous
IPO5,0.261667623,0.017096031,-0.434,1,-0.6956676230000001,ambiguous
DNAJB4,0.482115625,0.017267955,-0.106,1,-0.588115625,ambiguous
CTNND1,-0.147333244,0.017488763,0.183,1,0.33033324399999997,ambiguous
UBR4,-0.192546591,0.017559584,0.451,1,0.643546591,ambiguous
EXOC5,0.266950199,0.017611725,-0.662,1,-0.928950199,ambiguous
RAP1A,0.315542352,0.017629407,-0.177,1,-0.492542352,ambiguous
