"probeid","logfc","aveexpr","t","p.value","adj.p.val","b","significant","entrezgene_id","hgnc_symbol","gene_display","logFC","P.Value","adj.P.Val","GeneSymbol","GeneSymbol_clean","Dataset"
"ILMN_1656682",0.546981536539103,7.96646773774584,10.7763122363409,2.95744624665078e-25,4.92852634288228e-23,46.5385032300054,TRUE,51582,"AZIN1","AZIN1",0.546981536539103,2.95744624665078e-25,4.92852634288228e-23,"AZIN1","AZIN1","GSE112676"
"ILMN_1742230",0.578174813433721,7.81291755860918,12.6360049777292,2.7570909320862e-33,2.65303298400424e-30,64.7531522499256,TRUE,11177,"BAZ1A","BAZ1A",0.578174813433721,2.7570909320862e-33,2.65303298400424e-30,"BAZ1A","BAZ1A","GSE112676"
"ILMN_1720850",0.564000814855526,7.76246308374174,12.6001963956243,4.00849810748839e-33,3.73667182957433e-30,64.3842137583944,TRUE,29994,"BAZ2B","BAZ2B",0.564000814855526,4.00849810748839e-33,3.73667182957433e-30,"BAZ2B","BAZ2B","GSE112676"
"ILMN_1770803",0.616584463406867,7.62550201250471,14.0869215821292,4.17548899207149e-40,1.77935480904989e-36,80.2405863863244,TRUE,663,"BNIP2","BNIP2",0.616584463406867,4.17548899207149e-40,1.77935480904989e-36,"BNIP2","BNIP2","GSE112676"
"ILMN_1718961",0.543631965399556,8.08301574229266,10.7231188136222,4.87058211181052e-25,7.81126152662945e-23,46.0475817357078,TRUE,665,"BNIP3L","BNIP3L",0.543631965399556,4.87058211181052e-25,7.81126152662945e-23,"BNIP3L","BNIP3L","GSE112676"
"ILMN_1775743",0.503216230549464,11.5311613416834,9.32299166672668,1.27214438687265e-19,8.09127229433072e-18,33.7873411011456,TRUE,694,"BTG1","BTG1",0.503216230549464,1.27214438687265e-19,8.09127229433072e-18,"BTG1","BTG1","GSE112676"
"ILMN_1653797",0.63311654999365,8.54493860738376,8.74376154602417,1.49913408025108e-17,6.91177273785003e-16,29.1085206429747,TRUE,81688,"C6orf62","C6orf62",0.63311654999365,1.49913408025108e-17,6.91177273785003e-16,"C6orf62","C6orf62","GSE112676"
"ILMN_1765858",0.641143238870644,9.09547380519518,10.041155313272,2.48996612629285e-22,2.44327926142485e-20,39.9135475398196,TRUE,51719,"CAB39","CAB39",0.641143238870644,2.48996612629285e-22,2.44327926142485e-20,"CAB39","CAB39","GSE112676"
"ILMN_1768870",0.786433425418023,8.47483215518444,13.2102417522029,6.23567753728959e-36,1.09417800551382e-32,70.7596949489809,TRUE,830,"CAPZA2","CAPZA2",0.786433425418023,6.23567753728959e-36,1.09417800551382e-32,"CAPZA2","CAPZA2","GSE112676"
"ILMN_1715991",0.530819778816293,7.67886202197048,11.8277166443795,1.0866548987976e-29,4.61627093218419e-27,56.5935819727876,TRUE,8436,"CAVIN2","CAVIN2",0.530819778816293,1.0866548987976e-29,4.61627093218419e-27,"CAVIN2","CAVIN2","GSE112676"
"ILMN_1794190",0.528248256231628,7.70583465592099,12.4207224368692,2.58913884918537e-32,1.88375638710243e-29,62.5452907924863,TRUE,9236,"CCPG1","CCPG1",0.528248256231628,2.58913884918537e-32,1.88375638710243e-29,"CCPG1","CCPG1","GSE112676"
"ILMN_1716797",0.566075633404311,8.04614071129885,11.9441366606302,3.37153705841662e-30,1.47901397724364e-27,57.7466495263284,TRUE,9936,"CD302","CD302",0.566075633404311,3.37153705841662e-30,1.47901397724364e-27,"CD302","CD302","GSE112676"
"ILMN_1803429",0.519787470835418,10.7537655865406,7.20901895777547,1.39187348915417e-12,2.90753404632134e-11,17.9217172533781,TRUE,960,"CD44","CD44",0.519787470835418,1.39187348915417e-12,2.90753404632134e-11,"CD44","CD44","GSE112676"
"ILMN_2307740",0.891563964908336,8.48228542055112,13.5961727066553,9.47967456293546e-38,3.14198546902628e-34,74.8886661458383,TRUE,4179,"CD46","CD46",0.891563964908336,9.47967456293546e-38,3.14198546902628e-34,"CD46","CD46","GSE112676"
"ILMN_1771333",0.53963819503182,8.24240166199342,10.5695569819293,2.03584483189076e-24,2.89074558444298e-22,44.6403319461135,TRUE,961,"CD47","CD47",0.53963819503182,2.03584483189076e-24,2.89074558444298e-22,"CD47","CD47","GSE112676"
"ILMN_1800540",0.590887460426758,8.17001183472788,9.3024319388693,1.51292122980248e-19,9.48118493382521e-18,33.6171850132937,TRUE,1604,"CD55","CD55",0.590887460426758,1.51292122980248e-19,9.48118493382521e-18,"CD55","CD55","GSE112676"
"ILMN_1704730",0.540332425570558,9.61140419424358,10.3811318446081,1.15366638239411e-23,1.44596084818556e-21,42.9340557252187,TRUE,22918,"CD93","CD93",0.540332425570558,1.15366638239411e-23,1.44596084818556e-21,"CD93","CD93","GSE112676"
"ILMN_1752631",0.651160989581457,7.85289748309116,10.331641041448,1.81264564721384e-23,2.16284878625556e-21,42.489673860109,TRUE,8545,"CGGBP1","CGGBP1",0.651160989581457,1.81264564721384e-23,2.16284878625556e-21,"CGGBP1","CGGBP1","GSE112676"
"ILMN_1761981",0.556140823401623,8.14584051542069,10.5537680205426,2.35638412568382e-24,3.23921375433864e-22,44.4964859590953,TRUE,84191,"CIAO2A","CIAO2A",0.556140823401623,2.35638412568382e-24,3.23921375433864e-22,"CIAO2A","CIAO2A","GSE112676"
"ILMN_1679727",0.662376830343804,8.06528546955149,10.8066134753844,2.22409982101376e-25,3.79113700919089e-23,46.8189421894201,TRUE,1195,"CLK1","CLK1",0.662376830343804,2.22409982101376e-25,3.79113700919089e-23,"CLK1","CLK1","GSE112676"
"ILMN_1696494",0.608656660823474,9.24050591284762,12.8708107684307,2.33082692010851e-34,3.02298117507986e-31,67.1889133988482,TRUE,54918,"CMTM6","CMTM6",0.608656660823474,2.33082692010851e-34,3.02298117507986e-31,"CMTM6","CMTM6","GSE112676"
"ILMN_1703074",0.646620847764464,7.7647229951378,12.4595220009638,1.7323604071725e-32,1.32503361399886e-29,62.9413873060342,TRUE,1362,"CPD","CPD",0.646620847764464,1.7323604071725e-32,1.32503361399886e-29,"CPD","CPD","GSE112676"
