Gene_Symbol,protein_logFC,protein_adjPval,protein_significant
AHCYL1,-0.500392218184787,0.019929702494858,False
PCCB,-0.515806287383157,0.0205174957186469,False
COL28A1,4.86990011523262,0.0206138305913943,True
JCHAIN,2.1193708012361,0.0206138305913943,True
ARSB,-0.573450400666676,0.0206138305913943,False
SDR39U1,-0.916206642625163,0.0206138305913943,True
FAHD2B,-0.507756863455063,0.0206138305913943,False
CDH1,2.27295737901461,0.0206138305913943,True
EHBP1,0.696898708932526,0.0206138305913943,True
FNTB,0.744572856133466,0.0207397927071133,True
MRPL39,-0.479533261097938,0.0209123575439307,False
AMBP,2.86412363940587,0.0209123575439307,True
ALDH2,-0.552554630359719,0.0209123575439307,False
DPP7,-0.716326568520013,0.0209793048193953,True
NDUFS5,-0.701185444734618,0.0209793048193953,True
PDK3,-0.522997777861637,0.0211495438545263,False
SCAMP5,-0.808552421050318,0.0211731672303862,True
MRPL15,-0.445079446720429,0.0211731672303862,False
GMFG,0.64551624575074,0.0212734032084455,True
TRMT10C,-0.469995455883032,0.0212734032084455,False
HRG,2.62766229922497,0.021570919985545,True
PREX2,-0.60147861535583,0.021570919985545,True
MON1B,-0.350868499015886,0.021570919985545,False
ADCY2,-0.740593834005653,0.021570919985545,True
LRPPRC,-0.636697952683088,0.021570919985545,True
GPHN,-0.545229484256302,0.0221617010178159,False
NIPSNAP2,-0.470950236845162,0.0221617010178159,False
MSI2,-0.378166747803519,0.0221617010178159,False
EIF2B4,0.257517951197559,0.0221617010178159,False
SLC25A27,-0.904818756271183,0.0221617010178159,True
INF2,0.790027671546174,0.0221617010178159,True
G6PD,0.360601353675158,0.0221617010178159,False
MERTK,-0.538039565936824,0.0221617010178159,False
HSPA4,0.291328054685033,0.022334578292268,False
FLNB,1.09910784037274,0.0226018981820816,True
CTNND2,-0.796335061270545,0.0226018981820816,True
UQCC1,-0.410948427867889,0.0226018981820816,False
ERP29,0.375707232480227,0.0226569733852354,False
SNX9,0.293993701906635,0.0226569733852354,False
ACAD9,-0.48252203429336,0.0226569733852354,False
SLC4A4,-0.675381922289104,0.0227003761058287,True
IGLV3-10,1.93789834717729,0.0228391126459694,True
NDUFA10,-0.731018035767105,0.0229195752833788,True
MAOA,-0.543797193428514,0.0233305681016138,False
COPS7B,0.423649834534411,0.0235102019458601,False
NDUFS2,-0.631388540610228,0.0235986281006112,True
C1QB,1.46828353087151,0.0235986281006112,True
MARS2,-0.524405437017411,0.0235986281006112,False
ENDOD1,0.453031968950659,0.0235986281006112,False
RAI14,0.640231574374376,0.0235986281006112,True
AACS,0.716077731591508,0.0235986281006112,True
PFN1,0.485779726029138,0.0235986281006112,False
PRG4,2.35619211399847,0.0236654470522675,True
TAP2,0.675597246116238,0.0236654470522675,True
SERPINA6,1.09588911121634,0.0239826465038422,True
NDUFV1,-0.736810844676176,0.0239826465038422,True
RASSF2,0.347346142176525,0.0239826465038422,False
PTPRF,-0.415109280271883,0.0239826465038422,False
IGHV3-7,1.96664775879928,0.0239826465038422,True
NDUFB3,-0.670974014775735,0.0239826465038422,True
MRPL27,-0.459845768995656,0.0239826465038422,False
FN3K,0.382666005834915,0.0240031880106323,False
GADD45GIP1,-0.484619523997496,0.0240801518600278,False
CCDC90B,-0.382813955513358,0.0240935318749102,False
C2,1.53584184523393,0.0241108425504543,True
ACTR1B,0.411355718338212,0.02418600747268,False
IDE,0.339691587549234,0.02441877135382,False
GJA1,-0.968472642121645,0.0246734578316408,True
SERPINF1,2.64143370660326,0.0249504308495506,True
PYCARD,0.770268686419751,0.0250504336234766,True
AKR1A1,0.40733638946269,0.0250778696991743,False
CBR4,-0.562578637474957,0.0250778696991743,False
SUCLG1,-0.490634265615521,0.025303074474445,False
EPHA5,-0.597347066980412,0.025303074474445,True
FBXL17,-0.372653184395686,0.0254310652474465,False
PROS1,1.20563507893898,0.025478408426238,True
YOD1,0.596264925237049,0.0257088507522969,True
TPCN1,-0.536615230186228,0.0259578444038274,False
CD14,1.50477841313321,0.0259578444038274,True
LYZ,3.11792356777663,0.0259578444038274,True
GPR37L1,-0.767411551098223,0.026218519605134,True
MRPL45,-0.481188652528429,0.026425922279937,False
RNASE3,2.4551039746812,0.026425922279937,True
NDUFS1,-0.636804368400847,0.0264464978569283,True
HDGF,0.672027655618777,0.0264464978569283,True
CA2,0.880621173070816,0.0264464978569283,True
PI4KA,-0.536706657388976,0.0264464978569283,False
PRKAA1,0.346090483446615,0.0264464978569283,False
MT-ND2,-0.796436581546185,0.0264464978569283,True
SNAP23,0.355886271764504,0.0265793862108339,False
DDX24,0.553260507325975,0.0266903338874547,False
