SYMBOL	ORIGINAL_ID
OTTHUMG00000002945;RP11-293F5.1	OTTHUMG00000002945;RP11-293F5.1
CYP2E1	CYP2E1
RGCC	RGCC
ALDH1A2	ALDH1A2
PCDH17	PCDH17
RNA5SP65	RNA5SP65
FBXW2	FBXW2
C1orf114;CCDC181;OTTHUMG00000035449;RP1-206D15.3	C1orf114;CCDC181;OTTHUMG00000035449;RP1-206D15.3
SYS1	SYS1
LRRC37A4P	LRRC37A4P
RAPGEF4	RAPGEF4
ZFY	ZFY
MCAM	MCAM
LY6G5C	LY6G5C
LY6G5C	LY6G5C
LY6G5C	LY6G5C
LY6G5C	LY6G5C
OTTHUMG00000161406;RP11-284M14.1	OTTHUMG00000161406;RP11-284M14.1
FAM63A	FAM63A
HCCS	HCCS
CENPW	CENPW
RNA5SP85	RNA5SP85
OTTHUMG00000163779;RP11-203E8.1	OTTHUMG00000163779;RP11-203E8.1
OTTHUMG00000162350;RP11-83M16.6	OTTHUMG00000162350;RP11-83M16.6
RNA5SP386	RNA5SP386
TLX2	TLX2
RNA5S9	RNA5S9
ALLC	ALLC
NSDHL	NSDHL
MUC20	MUC20
RNA5SP473	RNA5SP473
MMGT1	MMGT1
C6orf211	C6orf211
TRIM36-IT1	TRIM36-IT1
IFITM4P	IFITM4P
SNORD116-20;SNORD116-21	SNORD116-20;SNORD116-21
AC004540.4;OTTHUMG00000152805	AC004540.4;OTTHUMG00000152805
EGLN1	EGLN1
WDHD1	WDHD1
CCR10	CCR10
RNA5SP273	RNA5SP273
SKA1	SKA1
TRAPPC2	TRAPPC2
FAAH2	FAAH2
CSMD1	CSMD1
GRIK1	GRIK1
OTTHUMG00000160989;RP11-328K4.1	OTTHUMG00000160989;RP11-328K4.1
MORC4	MORC4
CA5B	CA5B
RNA5SP93	RNA5SP93
DNER	DNER
AC000364.1;GRM8;OTTHUMG00000066223	AC000364.1;GRM8;OTTHUMG00000066223
RNA5SP383	RNA5SP383
BANF1	BANF1
LOC101060595;OTTHUMG00000042244;RP11-458D21.1	LOC101060595;OTTHUMG00000042244;RP11-458D21.1
DICER1	DICER1
NRP2	NRP2
VTRNA2-1	VTRNA2-1
PDCL3P4	PDCL3P4
SEMA3E	SEMA3E
CD22	CD22
ZNF790-AS1	ZNF790-AS1
GCNT1	GCNT1
THUMPD1	THUMPD1
GOLGA6L10;GOLGA6L3;GOLGA6L4;GOLGA6L9	GOLGA6L10;GOLGA6L3;GOLGA6L4;GOLGA6L9
HOXD8	HOXD8
ITFG3	ITFG3
AC006157.2;OTTHUMG00000036155;RPS4Y1	AC006157.2;OTTHUMG00000036155;RPS4Y1
CDCA7L	CDCA7L
SEMA5B	SEMA5B
AC097499.1;OTTHUMG00000153369	AC097499.1;OTTHUMG00000153369
RNA5SP297	RNA5SP297
RNA5SP452	RNA5SP452
MIR4534	MIR4534
DHRS7B	DHRS7B
PSD	PSD
GABRR1	GABRR1
MSL3	MSL3
LINC00630	LINC00630
ITGA7	ITGA7
POLI	POLI
SPOCK2	SPOCK2
TRPM7	TRPM7
LOC642423	LOC642423
LRPAP1	LRPAP1
HIST3H3	HIST3H3
LATS2	LATS2
COLGALT1;GLT25D1	COLGALT1;GLT25D1
VAX2	VAX2
NKX2-5	NKX2-5
STAG2	STAG2
OTTHUMG00000163826;RP11-855C21.1	OTTHUMG00000163826;RP11-855C21.1
FTSJD2	FTSJD2
SLC36A1	SLC36A1
LOXL3	LOXL3
BAZ1A	BAZ1A
L1TD1	L1TD1
IL17RA	IL17RA
CCDC99;SPDL1	CCDC99;SPDL1
RAB8A	RAB8A
GAS5;SNORD44;SNORD47;SNORD74;SNORD76;SNORD77;SNORD79;SNORD80;SNORD81	GAS5;SNORD44;SNORD47;SNORD74;SNORD76;SNORD77;SNORD79;SNORD80;SNORD81
CLDN7	CLDN7
RNA5SP29	RNA5SP29
C20orf24	C20orf24
HIBADH	HIBADH
SWAP70	SWAP70
SMYD3	SMYD3
SNORD3B-1	SNORD3B-1
SNORD3B-2	SNORD3B-2
MIR4680;PDCD4	MIR4680;PDCD4
FAM122B	FAM122B
SSBP2	SSBP2
EEF1B2;SNORA41	EEF1B2;SNORA41
TFAP2B	TFAP2B
SLC9B2	SLC9B2
FXYD5	FXYD5
EZR	EZR
SEPT11	SEPT11
DKFZP586I1420	DKFZP586I1420
WDR86	WDR86
OTTHUMG00000037473;RP11-504P24.4	OTTHUMG00000037473;RP11-504P24.4
MUC15	MUC15
OTTHUMG00000022051;RP1-158I15.1	OTTHUMG00000022051;RP1-158I15.1
MIR421	MIR421
LRP6	LRP6
JAG1	JAG1
ATP5C1	ATP5C1
TPBG	TPBG
DDX3X	DDX3X
AGXT2L1;ETNPPL	AGXT2L1;ETNPPL
TMSB4X	TMSB4X
LHX3	LHX3
MARCH1	MARCH1
FUT10	FUT10
BRE	BRE
ICMT	ICMT
HAPLN3	HAPLN3
TC2N	TC2N
OTTHUMG00000156245;RP11-89N17.1	OTTHUMG00000156245;RP11-89N17.1
AC009262.2;OTTHUMG00000153006	AC009262.2;OTTHUMG00000153006
RNA5SP132	RNA5SP132
MLEC	MLEC
PHF16	PHF16
SMO	SMO
SPOCK3	SPOCK3
DSP	DSP
PAX7	PAX7
SEMA4G	SEMA4G
PNMA2	PNMA2
NDST3	NDST3
PARD3B	PARD3B
AC016745.3;OTTHUMG00000153341	AC016745.3;OTTHUMG00000153341
MTUS2	MTUS2
SLC11A2	SLC11A2
AP006222.2;OTTHUMG00000002553	AP006222.2;OTTHUMG00000002553
MED14	MED14
DHX32	DHX32
RNA5SP506	RNA5SP506
COL4A6	COL4A6
FAM18B1;TVP23B	FAM18B1;TVP23B
RNA5SP358	RNA5SP358
LINC00266-4P	LINC00266-4P
PRDX4	PRDX4
SHMT1	SHMT1
SNORD3A	SNORD3A
PFDN2	PFDN2
OTTHUMG00000164543;RP11-758M4.4	OTTHUMG00000164543;RP11-758M4.4
CTSL2	CTSL2
FGF14;FGF14-IT1	FGF14;FGF14-IT1
GPR155	GPR155
RNA5SP481	RNA5SP481
LINC00648	LINC00648
XIAP	XIAP
