SYMBOL	ORIGINAL_ID
HIST1H2AG;HIST1H2AH;HIST1H2AI;HIST1H2AK;HIST1H2AL;HIST1H2AM	HIST1H2AG;HIST1H2AH;HIST1H2AI;HIST1H2AK;HIST1H2AL;HIST1H2AM
C4A;C4B;C4B_2	C4A;C4B;C4B_2
RABL3	RABL3
RCC2	RCC2
RAPGEF5	RAPGEF5
ARID2	ARID2
G3BP1	G3BP1
CIR1	CIR1
POTEB;POTEB2	POTEB;POTEB2
WBSCR16	WBSCR16
F11R;TSTD1	F11R;TSTD1
LOC100287497	LOC100287497
KANSL1L	KANSL1L
ACVR1	ACVR1
TRPA1	TRPA1
AJAP1	AJAP1
RPSA;SNORA6;SNORA62	RPSA;SNORA6;SNORA62
SLFN12	SLFN12
CTAGE5	CTAGE5
SLC7A11	SLC7A11
ITGA9	ITGA9
LOC100129361	LOC100129361
PAN3	PAN3
HIST3H2A	HIST3H2A
RPS10	RPS10
TARS	TARS
SLC39A9	SLC39A9
ILF3	ILF3
YIF1A	YIF1A
ASAH1	ASAH1
SNORD115-17;SNORD115-18;SNORD115-19	SNORD115-17;SNORD115-18;SNORD115-19
SNORD115-17;SNORD115-18;SNORD115-19	SNORD115-17;SNORD115-18;SNORD115-19
