PROBEID	SYMBOL	ORIGINAL_ID
ILMN_1800958	TMEM237	ILMN_1800958
ILMN_1737993	ERBB3	ILMN_1737993
ILMN_1735199	CIAPIN1	ILMN_1735199
ILMN_1730504	AGPAT4	ILMN_1730504
ILMN_2101885	TUBB	ILMN_2101885
ILMN_1670796	EXOSC10	ILMN_1670796
ILMN_1680111	AHDC1	ILMN_1680111
ILMN_1873278	NALF1	ILMN_1873278
ILMN_1725642	SUMO3	ILMN_1725642
ILMN_1768925	C1QTNF3	ILMN_1768925
ILMN_2320280	BCAM	ILMN_2320280
ILMN_1709142	PURA	ILMN_1709142
ILMN_1773935	TMEM165	ILMN_1773935
ILMN_1779228	CDH2	ILMN_1779228
ILMN_1679267	TGM2	ILMN_1679267
ILMN_1737709	RPL10L	ILMN_1737709
ILMN_1716272	KBTBD8	ILMN_1716272
ILMN_1696654	IFIT5	ILMN_1696654
ILMN_1662049	AGPAT5	ILMN_1662049
ILMN_1737394	LMNA	ILMN_1737394
ILMN_1677824	RAB4A	ILMN_1677824
ILMN_1793040	ADAMTSL5	ILMN_1793040
ILMN_1674128	CWC22	ILMN_1674128
ILMN_1722742	SCLY	ILMN_1722742
ILMN_1722742	UBE2F-SCLY	ILMN_1722742
ILMN_1779234	CXCL6	ILMN_1779234
ILMN_1656557	ARMC8	ILMN_1656557
ILMN_1689482	LINC01160	ILMN_1689482
ILMN_1662306	RABL3	ILMN_1662306
ILMN_1723847	CILP	ILMN_1723847
ILMN_1694041	PDCL	ILMN_1694041
ILMN_1747580	NF2	ILMN_1747580
ILMN_2183687	LIME1	ILMN_2183687
ILMN_2168314	PGM3	ILMN_2168314
ILMN_1887174	SPIDR	ILMN_1887174
ILMN_2136177	CNOT6	ILMN_2136177
ILMN_1705679	SAFB2	ILMN_1705679
ILMN_2067596	KCNS2	ILMN_2067596
ILMN_1744050	ASB7	ILMN_1744050
ILMN_1667356	PPP1R21	ILMN_1667356
ILMN_1793832	GRB14	ILMN_1793832
ILMN_1813669	ANKS1A	ILMN_1813669
ILMN_1782691	CHIAP2	ILMN_1782691
ILMN_1740505	SGMS1	ILMN_1740505
ILMN_1688753	PTDSS1	ILMN_1688753
ILMN_1683959	MED13L	ILMN_1683959
ILMN_1751227	LINC00997	ILMN_1751227
ILMN_2390609	ANK3	ILMN_2390609
ILMN_1708833	APCS	ILMN_1708833
ILMN_1679194	UGT2B7	ILMN_1679194
ILMN_1769545	PRPF19	ILMN_1769545
ILMN_1762787	RNF26	ILMN_1762787
ILMN_1759023	WFS1	ILMN_1759023
ILMN_1711818	PIWIL2	ILMN_1711818
ILMN_2347917	EED	ILMN_2347917
ILMN_1691476	MYLK	ILMN_1691476
ILMN_1772233	ARAP1	ILMN_1772233
ILMN_2278636	CUX1	ILMN_2278636
ILMN_2351611	UBQLN1	ILMN_2351611
ILMN_1668932	CCT8L2	ILMN_1668932
ILMN_1743402	SIX4	ILMN_1743402
ILMN_1700978	MUC21	ILMN_1700978
ILMN_1730118	ZNF644	ILMN_1730118
ILMN_2382717	OPN3	ILMN_2382717
ILMN_1764061	F11	ILMN_1764061
ILMN_1761113	GNL2	ILMN_1761113
ILMN_1686464	SLCO4C1	ILMN_1686464
ILMN_2216918	SHPK	ILMN_2216918
ILMN_1673252	AIMP2	ILMN_1673252
ILMN_1807211	NICN1	ILMN_1807211
ILMN_1702301	DOCK10	ILMN_1702301
ILMN_1814429	EYS	ILMN_1814429
ILMN_2387791	MALT1	ILMN_2387791
ILMN_1660027	FCGR2B	ILMN_1660027
ILMN_1809511	POLR2M	ILMN_1809511
ILMN_1677586	KRT83	ILMN_1677586
ILMN_1733523	NAA16	ILMN_1733523
ILMN_1811823	MED25	ILMN_1811823
ILMN_1732426	CRHR1	ILMN_1732426
ILMN_1658624	UBXN6	ILMN_1658624
ILMN_1759915	ARPC1A	ILMN_1759915
ILMN_1799488	ZNF383	ILMN_1799488
ILMN_2257223	PTPN7	ILMN_2257223
ILMN_2294684	CEP170	ILMN_2294684
ILMN_1740430	SLC2A4RG	ILMN_1740430
ILMN_1797030	FGF18	ILMN_1797030
ILMN_2375830	DIXDC1	ILMN_2375830
ILMN_1658302	PIAS2	ILMN_1658302
ILMN_1768595	DLG4	ILMN_1768595
ILMN_1750395	MBD2	ILMN_1750395
ILMN_2371685	UBE2E1	ILMN_2371685
ILMN_2368576	UBA52	ILMN_2368576
ILMN_1764323	METTL23	ILMN_1764323
ILMN_1801109	NAA16	ILMN_1801109
ILMN_1691293	RNF185	ILMN_1691293
ILMN_2172174	PNP	ILMN_2172174
ILMN_1668865	SLC2A14	ILMN_1668865
ILMN_1710052	CPT1A	ILMN_1710052
ILMN_1721963	MEN1	ILMN_1721963
ILMN_2387303	SHPRH	ILMN_2387303
ILMN_1790637	TOP6BL	ILMN_1790637
ILMN_1675709	ARFGAP1	ILMN_1675709
ILMN_1770553	MORF4L1	ILMN_1770553
ILMN_2092850	HPSE	ILMN_2092850
ILMN_2348512	ZXDC	ILMN_2348512
ILMN_1672446	RPL11	ILMN_1672446
ILMN_1738362	RNF19A	ILMN_1738362
ILMN_1696066	CARS1	ILMN_1696066
ILMN_2207865	H3C11	ILMN_2207865
ILMN_1743275	SH3RF3	ILMN_1743275
ILMN_1770329	RABGGTA	ILMN_1770329
ILMN_1668822	BATF	ILMN_1668822
ILMN_1791873	COG1	ILMN_1791873
ILMN_1729611	REEP4	ILMN_1729611
ILMN_1778464	TRAPPC10	ILMN_1778464
ILMN_2109994	RAB4B	ILMN_2109994
ILMN_2109994	MIA-RAB4B	ILMN_2109994
ILMN_2353633	ADGRE2	ILMN_2353633
ILMN_2185845	BRSK1	ILMN_2185845
ILMN_2077550	RACGAP1	ILMN_2077550
ILMN_1656079	KCNQ1	ILMN_1656079
ILMN_1778013	PDPR	ILMN_1778013
ILMN_1660602	C1orf43	ILMN_1660602
ILMN_2376667	POFUT2	ILMN_2376667
ILMN_1660275	LDAH	ILMN_1660275
