SYMBOL	ORIGINAL_ID
AKT1S1	AKT1S1
DNAJC11	DNAJC11
SPTLC1	SPTLC1
RPL38	RPL38
SKP2	SKP2
ZNF467	ZNF467
ZNF408	ZNF408
SURF2	SURF2
TNS3	TNS3
IER3IP1	IER3IP1
CENPT	CENPT
TMEM141	TMEM141
PDXK	PDXK
ADGRF5	ADGRF5
RWDD4	RWDD4
CTBP1-AS2	CTBP1-AS2
CA3	CA3
MYPOP	MYPOP
SPEG	SPEG
RHBDD3	RHBDD3
ZCCHC12	ZCCHC12
LAGE3	LAGE3
KXD1	KXD1
LRRC27	LRRC27
MACO1	MACO1
MRPS36	MRPS36
TM2D1	TM2D1
IL17RC	IL17RC
LRRC23	LRRC23
MIR497HG	MIR497HG
IMP4	IMP4
NUDT16L1	NUDT16L1
MIR4793	MIR4793
ST8SIA4	ST8SIA4
DAB2IP	DAB2IP
LNPK	LNPK
