Gene_Symbol,logFC,adjPval,tissue,omic,direction
MIGA1,-0.431797968577531,0.0308987400687687,spinal_cord,protein,DOWN
JAM2,-0.508959514842845,0.0315443308410022,spinal_cord,protein,DOWN
ELANE,3.39365441461132,0.0315443308410022,spinal_cord,protein,UP
EMILIN2,1.69401098303856,0.0315885087507525,spinal_cord,protein,UP
IGF1R,-0.538278376778578,0.0318183902303468,spinal_cord,protein,DOWN
SNX8,0.360547309380342,0.0318183902303468,spinal_cord,protein,UP
RNASE3,2.46918332974661,0.0318183902303468,spinal_cord,protein,UP
MRPL48,-0.446296446031292,0.0325422925870211,spinal_cord,protein,DOWN
IQGAP1,1.01538407398242,0.0327157982678146,spinal_cord,protein,UP
NDUFA7,-0.670215048152927,0.033028924173074,spinal_cord,protein,DOWN
DPP7,-0.684632493807651,0.0333258498390702,spinal_cord,protein,DOWN
SUOX,-0.461547019008979,0.0335756402450224,spinal_cord,protein,DOWN
USP40,-0.527054304312419,0.0335756402450224,spinal_cord,protein,DOWN
GBP2,1.30644877795542,0.0335756402450224,spinal_cord,protein,UP
RCSD1,0.558713364574244,0.0335756402450224,spinal_cord,protein,UP
MIX23,-0.488783047471657,0.0335756402450224,spinal_cord,protein,DOWN
ATG7,0.354207489362281,0.0335987274519159,spinal_cord,protein,UP
IRF9,-0.431849576815787,0.0335987274519159,spinal_cord,protein,DOWN
TVP23C,0.439120227551197,0.0335987274519159,spinal_cord,protein,UP
L3HYPDH,0.693438977631056,0.0335987274519159,spinal_cord,protein,UP
FGFR3,-0.568413981331583,0.0337612191198445,spinal_cord,protein,DOWN
BRAT1,-0.521134418119887,0.0338312231725268,spinal_cord,protein,DOWN
FECH,-0.524291910811785,0.0339645111760267,spinal_cord,protein,DOWN
HPX,2.22022717256874,0.0339645111760267,spinal_cord,protein,UP
EHBP1,0.65894798745553,0.0339645111760267,spinal_cord,protein,UP
ABHD11,-0.699476540062705,0.0340013079632613,spinal_cord,protein,DOWN
JMJD7,0.614134534058024,0.0343734877308686,spinal_cord,protein,UP
TTLL1,-0.485803420715085,0.034601546315205,spinal_cord,protein,DOWN
MSRB2,-0.545616510913601,0.0350084597481138,spinal_cord,protein,DOWN
UAP1L1,0.744846053758328,0.0350084597481138,spinal_cord,protein,UP
MMAB,-0.875436070836654,0.0361297973683865,spinal_cord,protein,DOWN
ITIH4,2.15306618376596,0.0363016599273841,spinal_cord,protein,UP
UQCC1,-0.392077731701993,0.0363016599273841,spinal_cord,protein,DOWN
ARHGEF1,0.418721034258926,0.0371176489075683,spinal_cord,protein,UP
SDR39U1,-0.855819360046347,0.0371176489075683,spinal_cord,protein,DOWN
TTYH1,-0.669060535483604,0.0372736760022322,spinal_cord,protein,DOWN
GPHN,-0.516084615359715,0.0372736760022322,spinal_cord,protein,DOWN
NDUFS4,-0.619219776904991,0.0373263460713535,spinal_cord,protein,DOWN
GRAMD1C,-0.417402013709174,0.0377454518609556,spinal_cord,protein,DOWN
APOH,2.41860336169258,0.0377454518609556,spinal_cord,protein,UP
HLA-C,2.47226073268201,0.0377454518609556,spinal_cord,protein,UP
PLPP3,-0.670943442076599,0.0379450139423008,spinal_cord,protein,DOWN
S100A4,1.99474755423625,0.037991818107561,spinal_cord,protein,UP
VAMP8,0.811030852036666,0.037991818107561,spinal_cord,protein,UP
PTGR1,-0.77355192297718,0.037991818107561,spinal_cord,protein,DOWN
NDUFA11,-0.7891237185287,0.037991818107561,spinal_cord,protein,DOWN
MRPL19,-0.445426644238422,0.037991818107561,spinal_cord,protein,DOWN
TNFSF13,0.9921185102914,0.037991818107561,spinal_cord,protein,UP
HLA-DRA,1.06709017350446,0.037991818107561,spinal_cord,protein,UP
TNNC1,1.6452141829716,0.037991818107561,spinal_cord,protein,UP
SLC3A2,-0.420319217047007,0.037991818107561,spinal_cord,protein,DOWN
COQ9,-0.386946818504001,0.037991818107561,spinal_cord,protein,DOWN
TAMM41,-0.425914500572297,0.037991818107561,spinal_cord,protein,DOWN
IGF2R,0.58680173472793,0.037991818107561,spinal_cord,protein,UP
PAPOLA,0.397350073551772,0.037991818107561,spinal_cord,protein,UP
SKIC3,0.352303907280183,0.037991818107561,spinal_cord,protein,UP
GLS2,-0.677193894563072,0.037991818107561,spinal_cord,protein,DOWN
SELENOP,0.721354559864579,0.037991818107561,spinal_cord,protein,UP
BCO2,-0.544077042701806,0.037991818107561,spinal_cord,protein,DOWN
ACAD10,-0.400008198606283,0.037991818107561,spinal_cord,protein,DOWN
MTHFS,0.540629512341356,0.037991818107561,spinal_cord,protein,UP
FASTKD5,-0.453753611680712,0.0382784210011595,spinal_cord,protein,DOWN
BAX,0.391460934047737,0.0383828191313779,spinal_cord,protein,UP
CFH,2.02447217189073,0.0389045722231351,spinal_cord,protein,UP
PCCB,-0.472393640497074,0.0391494929781274,spinal_cord,protein,DOWN
AGL,-0.857218736073891,0.0391494929781274,spinal_cord,protein,DOWN
LTA4H,0.477514088477919,0.0391494929781274,spinal_cord,protein,UP
NDUFA8,-0.731640350054508,0.0391494929781274,spinal_cord,protein,DOWN
JCHAIN,1.9447840139916,0.039242224361504,spinal_cord,protein,UP
MT-CO2,-0.713918597738399,0.0392946560414652,spinal_cord,protein,DOWN
APRT,0.598986519867415,0.0392946560414652,spinal_cord,protein,UP
SPP1,0.866933589452971,0.0393729034668001,spinal_cord,protein,UP
ITGAM,0.729776894678766,0.0393729034668001,spinal_cord,protein,UP
PYCR2,-0.68287057943011,0.0393729034668001,spinal_cord,protein,DOWN
CD53,0.557822622365221,0.0393729034668001,spinal_cord,protein,UP
ABCA1,0.78199482155476,0.0394658074706044,spinal_cord,protein,UP
ATP5MG,-0.64034976547973,0.0394658074706044,spinal_cord,protein,DOWN
PTPN12,0.450971747470492,0.0398949837009876,spinal_cord,protein,UP
ITGAX,0.813173305385114,0.0403327349581752,spinal_cord,protein,UP
FBXO44,-0.414352345285275,0.0405813592648658,spinal_cord,protein,DOWN
TOMM22,-0.531289373421214,0.0407697321654998,spinal_cord,protein,DOWN
MT-ND4,-0.517603881742496,0.0408402985682032,spinal_cord,protein,DOWN
STAB1,1.18436470166846,0.0419101504209956,spinal_cord,protein,UP
AKR1C3,-0.799450169298694,0.0428673402191429,spinal_cord,protein,DOWN
