Gene_Symbol,direction,LCM_SMD,LCM_FDR
KCNN1,DOWN,-1.152,0.0262
ZNF577,UP,1.143,0.0153
HMGB2,UP,1.142,0.0355
DNAJC11,DOWN,-1.142,0.0165
DCXR,DOWN,-1.139,0.00428
XRN1,UP,1.138,0.00428
TJP2,UP,1.132,0.00434
CRYBB1,DOWN,-1.131,0.0173
TRPC5,DOWN,-1.131,0.0168
VPS26B,DOWN,-1.124,0.00434
MTMR11,UP,1.123,0.0335
RFTN2,UP,1.123,0.0173
CD44,UP,1.117,0.0236
NSFL1C,DOWN,-1.115,0.00906
ANO3,DOWN,-1.114,0.0359
PTCHD4,DOWN,-1.113,0.0175
DUSP22,UP,1.112,0.0446
NECTIN3,UP,1.107,0.0165
CEMIP,UP,1.107,0.0176
SLC9A8,DOWN,-1.106,0.00961
AIF1,UP,1.104,0.0175
TCIM,UP,1.104,0.0264
DDR2,UP,1.103,0.0088
RHOC,UP,1.103,0.0175
NOG,DOWN,-1.101,0.033
RPL38,UP,1.101,0.0208
EMP2,UP,1.101,0.0187
APBB1IP,UP,1.1,0.00511
CSGALNACT1,DOWN,-1.099,0.00412
CD163,UP,1.098,0.0197
ZC3H6,UP,1.097,0.00486
FAM220A,DOWN,-1.094,0.0328
IGSF21,DOWN,-1.094,0.0268
ZFP36L1,UP,1.094,0.0477
SND1,UP,1.093,0.00511
CLDN1,DOWN,-1.092,0.00511
