Gene_Symbol,direction,mRNA_source,mRNA_logFC_mean,LCM_SMD
ACTN2,DOWN,GEO_merged,-1.0882229409267778,
SCG5,DOWN,GEO_merged,-0.6310267520695603,
PTP4A2,DOWN,GEO_merged,-0.2132222974805124,
RPS16,UP,GEO_merged,0.620848863487306,
MTMR6,DOWN,GEO_merged,-0.4452077715050661,
CYCS,DOWN,GEO_merged,-0.4684905957739858,
PTPRN2,DOWN,GEO_merged,-0.5590218966239087,
RBPJ,DOWN,GEO_merged,-0.9623241902845726,
NELL2,DOWN,GEO_merged,-0.3790137138485775,
SAP18,DOWN,GEO_merged,-0.6591090010112415,
SMAD1,DOWN,GEO_merged,-0.2468912620370965,
NELL1,DOWN,GEO_merged,-1.8126119420610236,
NNT,UP,GEO_merged,1.1524764683003124,
PSMD2,DOWN,GEO_merged,-0.2217264844315226,
IFITM1,UP,GEO_merged,1.580831908682055,
XAF1,DOWN,GEO_merged,-0.5708274120513601,
PMP22,UP,GEO_merged,0.3723501333380422,
ACSL1,DOWN,GEO_merged,-0.1744712766115504,
LRP1,UP,GEO_merged,0.7165480574526879,
ZNF91,DOWN,GEO_merged,-0.247741655576324,
KDELR1,UP,GEO_merged,1.3643209010575843,
FAM168A,UP,GEO_merged,0.7763636062056121,
AGPS,DOWN,GEO_merged,-0.9570195737782496,
RPL34,DOWN,GEO_merged,-0.157274017100842,
PRKX,UP,GEO_merged,1.59531144721988,
HLA-E,UP,GEO_merged,1.204965134848594,
HSPD1,DOWN,GEO_merged,-0.2551868580437979,
FDX1,DOWN,GEO_merged,-1.0003540646740503,
YME1L1,DOWN,GEO_merged,-0.6084403262940387,
LRRC16A,UP,GEO_merged,1.1402751777787803,
LST1,UP,GEO_merged,1.9654828194142748,
WARS,DOWN,GEO_merged,-0.2731483216206085,
NME1,DOWN,GEO_merged,-0.2758206382198743,
NUP205,UP,GEO_merged,0.7054054543102725,
UBE2B,DOWN,GEO_merged,-0.9670515824301104,
RFX5,DOWN,GEO_merged,-0.5006193867498715,
KHDRBS1,UP,GEO_merged,0.3300827479154355,
XPA,DOWN,GEO_merged,-0.5477363068106675,
MAMLD1,DOWN,GEO_merged,-0.1310823195626385,
GSN,DOWN,GEO_merged,-0.1722564190126325,
TLN2,DOWN,GEO_merged,-0.534467843513757,
SYP,UP,GEO_merged,0.8142258759284952,
TFAM,DOWN,GEO_merged,-0.3878406546131412,
SRPK1,DOWN,GEO_merged,-0.8750360001377707,
FOS,UP,GEO_merged,0.1329787008224639,
YWHAQ,DOWN,GEO_merged,-0.3051947894166796,
IDE,DOWN,GEO_merged,-0.815205469150438,
SPTAN1,UP,GEO_merged,0.2552928631690109,
CD53,UP,GEO_merged,0.76233381730536,
BRCC3,DOWN,GEO_merged,-0.9346350577103778,
PRDM2,DOWN,GEO_merged,-1.1734887519670876,
PWP1,DOWN,GEO_merged,-0.558558505666926,
SH3GL3,DOWN,GEO_merged,-0.4486364920824969,
PAICS,DOWN,GEO_merged,-0.3583690960352539,
AP2S1,DOWN,GEO_merged,-0.32225307875736,
CYP27A1,UP,GEO_merged,1.092680633398936,
PRKACA,DOWN,GEO_merged,-0.3117149220324844,
