"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CR610292",1.41923420896774,0.275694042408474,3.72696305649689,0.000985421033562127,0.0638318533838181,-0.686579048592399
"MYO1B",2.15553173356968,-0.285953987828368,3.85094914077104,0.00105941496817964,0.0658614822164298,-0.693639374161855
"IFIT3",0.436760470375207,1.18081492729072,3.71497224781678,0.00101598180516685,0.0647943305826821,-0.714073937566808
"SERPINE2",1.00529418074554,1.02226450207608,3.7107886605139,0.00102686153411405,0.0647943305826821,-0.723662010583221
"GADD45B",0.748782271795882,0.759482074644865,3.70186238317707,0.00105045807733482,0.0657458997996786,-0.744110987187546
"UBE3C",-0.18055855352044,1.71338983395639,-3.68979708597721,0.00108319872140949,0.0668072812428772,-0.771732369951912
"BEST1",0.292635628003963,1.84526663503864,3.68758029368698,0.00108932201672572,0.0668072812428772,-0.776804965825756
"EPB41",-0.153160189135638,1.90004543123265,-3.68508131246061,0.00109626543764626,0.0668072812428772,-0.782522397547249
"TIPARP",0.533525189414756,1.21810932514288,3.66521172787629,0.00115303701504696,0.0696255114535551,-0.827948348071575
"TMEM98",1.4497658341922,0.26212685965081,3.67780625752882,0.00117201993456712,0.069831111155978,-0.829662438632112
"RPL5",0.267284346716939,1.60740996130045,3.6636756470999,0.00115754385877658,0.0696255114535551,-0.831457619001478
"BGN",1.95204807559704,0.294646454931077,3.68701675923537,0.00120619429827879,0.069831111155978,-0.838592953267391
"MOG",1.03967856011364,1.05676293158962,3.66752636041708,0.00120258417768237,0.069831111155978,-0.852767442984608
"CTNNB1",0.222582075947539,1.87911941565993,3.65208860556507,0.00119210009802685,0.069831111155978,-0.857917078798804
"MAOB",0.232737559019908,2.23721200663317,3.65182616074804,0.00119289436784847,0.069831111155978,-0.858516137993277
"MAGT1",1.20573214466864,0.460798501191901,3.65018525170801,0.00119787220937578,0.069831111155978,-0.862261447327676
"SLC2A1",0.407840243593954,1.50888277139327,3.64115966099101,0.00122561755305026,0.0705148782230094,-0.882854371242257
"PMP2",0.425232251936002,2.41938175521166,3.63746224468625,0.00123716431074358,0.0707398333976407,-0.891286702258166
"RAB13",0.787467094251032,1.40988459812114,3.63408700895361,0.00124779776456075,0.0709101269516946,-0.898982351868985
"CETN3",0.673637082895216,1.08217859110189,3.63020977851196,0.001260123040793,0.0711739007735707,-0.907820298427577
"MAF",0.708781382158416,0.886669460096635,3.62611492308758,0.0012732693616971,0.0712458583229047,-0.917151664498862
"ATP8A2",-0.167470214315141,2.05536561188269,-3.62265817165882,0.0012844713742767,0.0712458583229047,-0.925026791989329
"RYR2",-0.188539968924172,1.72829186465391,-3.61614281031787,0.00130584767902074,0.0718496479780392,-0.939864683463669
"SDC2",0.723611793630224,0.977013072585826,3.61462711077611,0.0013108701833411,0.0718496479780392,-0.94331549077993
"casp",0.248721498581866,1.8231714388918,3.61157568361515,0.00132103888474341,0.0719810775845778,-0.950261550918842
"GIMAP7",1.41172939091114,0.481166178868202,3.65207047548244,0.00138751039855808,0.0731021205306928,-0.950689428691084
"MXI1",0.417716662386859,1.62883641438207,3.60925796125879,0.0013288140283522,0.0719813119568796,-0.955536423419846
"CGNL1",1.67428922441009,0.465484745253199,3.64930035634842,0.00139685580631897,0.0731021205306928,-0.956654872239614
"ZNF226",0.257303974424403,1.6706451269369,3.60114394086102,0.00135638758392236,0.0726957514952792,-0.97399595045271
