"Probe_ID","Gene_Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ILMN_1746027","GNAL",-0.0114611213571303,6.76201024732782,-0.695901716794469,0.486708526994445,0.639340625946794,-6.78440853142524
"ILMN_1687478","C10ORF21",0.00539298503719188,6.55454219099358,0.695887207362071,0.486717608938175,0.639340625946794,-6.78441855708583
"ILMN_1693669","WDR79",-0.0118495282215703,6.84193470644768,-0.695773956106406,0.486788499877003,0.639405590107045,-6.78449680374215
"ILMN_1722387","C9ORF126",0.00517298446124936,6.51695172038056,0.695568438009541,0.486917160593204,0.639523875463268,-6.78463876618789
"ILMN_1720976","PITX2",0.00508722472868328,6.53741434944006,0.695561618573104,0.48692143008789,0.639523875463268,-6.78464347602287
"ILMN_1678353","FARP1",-0.00633181115838344,6.55951625455947,-0.695434899547229,0.487000769686665,0.63959991897826,-6.78473098596483
"ILMN_2322552","NCKAP1",0.0058432475159611,6.55103639332335,0.695346909727101,0.48705586479619,0.639644115825937,-6.78479174082792
"ILMN_2382025","CLUL1",-0.00522605923209962,6.52481977037461,-0.695145088772994,0.487182248379174,0.639781926883151,-6.78493106436222
"ILMN_1845157","HS.467586",0.015692221123607,6.99927874173062,0.694922857955419,0.487321433479463,0.639936536392516,-6.7850844307614
"ILMN_1663185","PLEKHA8",0.00981796078981212,6.6468825770252,0.694835225260859,0.487376324514785,0.63998044461311,-6.78514489455746
"ILMN_1813572","IL16",0.0157716089142337,8.4629716838722,0.6947198823858,0.487448577646428,0.640038422887974,-6.7852244658963
"ILMN_1753196","PTTG1",-0.0144121825634844,7.14700834414252,-0.694696237186675,0.487463390197515,0.640038422887974,-6.78524077632903
"ILMN_1798596","LOC652298",-0.00492510544414682,6.4914576272743,-0.69455977118285,0.487548884176154,0.640122500659097,-6.78533489959732
"ILMN_1693340","RAC3",-0.0116799818194897,6.83033376842394,-0.694388419114266,0.487656245254071,0.640235279958142,-6.78545305831377
"ILMN_1715555","DBP",-0.0176095847315869,7.13358866048415,-0.694156836779138,0.487801364073772,0.640397618621627,-6.7856127035633
"ILMN_1782716","SERPINB4",-0.00524118471780355,6.51941293144001,-0.694111082990877,0.487830038002621,0.640407078009866,-6.78564423842948
"ILMN_1791099","TRIM6-TRIM34",0.0055935293873226,6.4896255153803,0.693710892042773,0.48808087677,0.640708174355268,-6.78591997339977
"ILMN_1810978","MUCL1",0.00628609907360822,6.58877909847276,0.693659884574013,0.488112853142468,0.640720325407639,-6.78595510656897
"ILMN_1669540","FABP9",-0.00547365160303759,6.50349341236107,-0.693627602290749,0.488133091358163,0.640720325407639,-6.78597734078188
"ILMN_1709067","SAMD11",0.0076627834720373,6.62415129837664,0.693507064106151,0.48820866244282,0.640786965472401,-6.78606035154028
"ILMN_1756694","SYN3",0.0061126077985616,6.56155775602598,0.693453410270689,0.488242302601334,0.640786965472401,-6.78609729657162
"ILMN_1752107","MIB2",0.00654883654078997,6.58200397980869,0.693443837046624,0.488248305002421,0.640786965472401,-6.78610388821517
"ILMN_1788553","EPS8L2",-0.00647973658574585,6.54261087746292,-0.693264569579591,0.488360712873755,0.640906294105768,-6.78622730604756
"ILMN_1740739","CASRL1",-0.00940243527668905,6.67688462826947,-0.693077079155935,0.488478291825047,0.641032398272894,-6.78635635093266
"ILMN_1666477","LOC390876",-0.0172226874435335,6.90738014364799,-0.693012367941717,0.488518877056365,0.641057456563055,-6.78640088192199
"ILMN_1699844","SCRN3",-0.00843125784147603,6.70334164504567,-0.692917550622232,0.488578347362424,0.641107293442181,-6.78646612291245
"ILMN_1731453","KIAA1712",-0.00503458661029299,6.53020214894859,-0.692883029820513,0.488600000101792,0.641107504312328,-6.78648987344042
"ILMN_1706708","EPPK1",0.00901039111243573,6.61268930189047,0.692790103321509,0.488658289656673,0.641154125821936,-6.78655380158196
"ILMN_1660904","TRIM15",-0.00538508272166283,6.48486905159576,-0.692726260914299,0.488698337950455,0.641154125821936,-6.78659771656159
"ILMN_1776995","LOC651192",-0.00552918960952198,6.50731843946787,-0.692723592268394,0.488700012028607,0.641154125821936,-6.78659955214266
"ILMN_1793730","TM7SF4",-0.0060567378681009,6.56359668311899,-0.692560916827515,0.488802066410347,0.641231914591823,-6.78671143224021
"ILMN_1685934","UPK2",0.00574074970845473,6.56648034489005,0.69256055001371,0.488802296543864,0.641231914591823,-6.78671168448696
"ILMN_1688703","C17ORF47",0.0185559776892035,6.8216832357981,0.692494667510662,0.488843631193676,0.641252053892661,-6.78675698771395
"ILMN_1658864","SPTBN4",-0.00486075979277345,6.52302637135008,-0.692444898143599,0.488874857721245,0.641252053892661,-6.78679120810344
"ILMN_1811593","NPAL1",-0.00606277488610285,6.58350142991502,-0.692370627443862,0.488921458991475,0.641252053892661,-6.7868422705356
"ILMN_1759486","C13ORF35",-0.0044347374493201,6.53744862973572,-0.692315878387268,0.488955812910723,0.641252053892661,-6.78687990798725
"ILMN_1768772","DEGS2",-0.00540372718572257,6.54165033799495,-0.692282947534574,0.488976476978487,0.641252053892661,-6.78690254499827
"ILMN_2198878","INPP4B",-0.01282312806857,7.08865251402864,-0.692251726158047,0.488996068787503,0.641252053892661,-6.78692400590457
"ILMN_1665562","PLIN",-0.0054343984927927,6.5453132453469,-0.692227708090245,0.489011140717478,0.641252053892661,-6.78694051475256
"ILMN_1696189","KCNAB1",0.00649000075801887,6.63493102641838,0.692167079023598,0.489049188067716,0.641252053892661,-6.78698218567056
"ILMN_1740737","DCPS",-0.0170456764163642,7.35061609252216,-0.692140426443071,0.489065914215355,0.641252053892661,-6.7870005030821
"ILMN_2288928","KIAA1622",-0.00527075095805873,6.50156788146074,-0.692131523143556,0.489071501656906,0.641252053892661,-6.7870066218599
"ILMN_1744123","CYP26A1",0.00775063788296038,6.60116315483258,0.692079188813138,0.489104345796662,0.641252053892661,-6.78704258695258
"ILMN_1856274","HS.180848",0.00529335493412741,6.49050746168044,0.692066747690146,0.489112153809965,0.641252053892661,-6.78705113631632
"ILMN_1682402","SNORD46",0.00727625204960169,6.59176099787144,0.692061814713917,0.489115249750401,0.641252053892661,-6.78705452614534
"ILMN_1658481","DGUOK",0.00669875095589223,6.70504604879808,0.692056468844826,0.489118604834721,0.641252053892661,-6.78705819967774
"ILMN_1893555","HS.564389",0.00633376012645392,6.6133902372665,0.692019079513918,0.489142070844087,0.641254635373082,-6.78708389179226
"ILMN_1659189","C9ORF89",0.0195693466633493,8.69942922298475,0.69190435615679,0.489214076442954,0.641320848178129,-6.78716271540451
"ILMN_1703955","FBXO32",-0.0177651039759805,7.84357018122211,-0.691687648669902,0.489350107528566,0.641455094588971,-6.78731157420581
"ILMN_1713038","RP11-45B20.2",-0.00535004360901592,6.51208765225635,-0.691640850345416,0.489379486335917,0.641455094588971,-6.78734371438496
"ILMN_1813975","ADI1",0.00944120143953153,6.63366388422323,0.691638449232634,0.489380993719604,0.641455094588971,-6.78734536336391
"ILMN_1697764","HYDIN",-0.00518443908872079,6.54945374828864,-0.691566909114518,0.48942590671462,0.64148577693647,-6.78739449135797
"ILMN_1712808","HIST1H4G",0.00541247194025907,6.52728995424123,0.691508999065205,0.48946226436025,0.641505243667235,-6.787434255601
"ILMN_1716979","GSTM4",-0.00712198386459484,6.66468371626584,-0.691440023267266,0.489505571312118,0.641533816275229,-6.78748161385966
"ILMN_1728632","LCE3C",0.00531519962640203,6.52918070128323,0.691347627071157,0.489563586168553,0.641581661339422,-6.78754504499286
"ILMN_1685538","LOC158345",-0.0371057720441836,9.33654488904382,-0.691301589241558,0.489592494349758,0.64158920740368,-6.78757664737319
"ILMN_2243697","ZDHHC13",0.00574063973785144,6.5338435637701,0.691269951988044,0.489612360621434,0.64158920740368,-6.78759836334963
"ILMN_1693807","PTCHD3",0.00530407553352585,6.5256672234872,0.691032956200772,0.489761193393448,0.641710043168905,-6.78776100693204
"ILMN_2048683","FSCB",0.00516770274826861,6.51141643164758,0.691021329722267,0.48976849542112,0.641710043168905,-6.78776898442602
"ILMN_1835172","HS.146184",-0.00523710968676738,6.61576336238373,-0.690998038133243,0.489783123915968,0.641710043168905,-6.78778496551789
"ILMN_2119555","TMTC3",0.00782542109103446,6.61023359408428,0.690986099318709,0.489790622288623,0.641710043168905,-6.78779315690548
"ILMN_1682747","FANCA",0.00455293302443138,6.54773376261483,0.690909260753645,0.48983888351907,0.641745087415954,-6.78784587353731
"ILMN_1664047","CACNA1E",0.0106363740969728,6.75033041200947,0.690871366076132,0.489862685581262,0.641748085678044,-6.78787186978176
"ILMN_2111445","LYZL1",0.0049383146032751,6.52025010894937,0.690735246488686,0.489948188928642,0.641831912333291,-6.78796523785465
