"Probe_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene_Symbol"
"M31520_rna1_at",-0.994386114568692,5.97848629774679,-0.723363829018253,0.484554144350807,0.785216201582477,-6.05981919762528,"RPS27"
"L40387_at",1.10092616127102,9.02909343027976,0.723243312012209,0.484625275009783,0.785216201582477,-6.05990701826642,"OASL"
"X66436_at",-0.97632264942632,10.2516909329092,-0.722924573145169,0.484813429833982,0.785216201582477,-6.0601392190942,"GNL1"
"Z29064_at",0.490055524077905,10.7906337965664,0.722891549100072,0.484832926848525,0.785216201582477,-6.06016327176217,"EPS15"
"M86917_at",-0.614928192771968,8.25215716295792,-0.722856477389204,0.484853633312028,0.785216201582477,-6.06018881473259,"OSBP"
"D64108_at",-0.913721545109055,5.82936727000445,-0.722760431571471,0.484910341904878,0.785216201582477,-6.06025875981825,"DMC1"
"M83772_at",0.188846870698194,4.44210337624076,0.722399180513504,0.485123673056894,0.785216201582477,-6.06052176441114,"FMO3"
"S60415_at",-0.188846870698193,4.20175281353397,-0.7223991805135,0.485123673056897,0.785216201582477,-6.06052176441115,"CACNB2"
"V00532_rna1_f_at",-0.188846870698193,4.20175281353397,-0.7223991805135,0.485123673056897,0.785216201582477,-6.06052176441115,"IFNA17"
"L07633_at",0.18615728689076,11.9638167792808,0.721391500945132,0.485719048891605,0.785475262339636,-6.06125476369222,"PSME1"
"K03431_cds1_at",-0.348398078627326,12.2641580873952,-0.721349359476424,0.485743957517822,0.785475262339636,-6.06128539773803,"HP"
"U25975_at",0.39254380289016,9.36197938171479,0.721224026762895,0.485818042789014,0.785475262339636,-6.06137649669791,"PAK2"
"M63623_at",-0.37991477782507,11.0410986278748,-0.721063864740829,0.485912726124594,0.785475262339636,-6.06149289069313,"LOC101927057 /// OMG"
"U26312_s_at",0.782236163258892,7.76700797576353,0.720951739635757,0.485979018148808,0.785475262339636,-6.06157436103538,"CBX3"
"L26336_at",-0.620063557159998,12.191604846567,-0.720865418356306,0.486030057911772,0.785475262339636,-6.06163707443518,"HSPA2"
"D38524_at",0.514708561992132,9.41386769543733,0.720647710116167,0.486158798420267,0.785475262339636,-6.06179521172329,"NT5C2"
"D76435_at",0.336256534594918,11.3433611332024,0.720624500609034,0.486172524469342,0.785475262339636,-6.06181206791679,"ZIC1"
"AF007875_at",0.479092635669868,10.1966752691755,0.71999949828414,0.486542239328155,0.785892993385893,-6.06226579847757,"DPM1"
"M69039_at",0.212103306450983,12.0372231806151,0.719110840799217,0.487068215659112,0.786268296295572,-6.06291031888242,"C1QBP"
"U42390_at",0.184683107032551,4.43945370845353,0.718847595919045,0.487224091635843,0.786268296295572,-6.06310110497169,"TRIO"
"X98206_at",0.184683107032551,4.43945370845353,0.718847595919045,0.487224091635843,0.786268296295572,-6.06310110497169,""
"HG627-HT5097_s_at",-0.410071403036506,11.3881320190113,-0.718740940802055,0.487287254398444,0.786268296295572,-6.06317838496771,""
"M88458_at",-0.207680295905392,10.5826567772275,-0.718667674019969,0.487330647010919,0.786268296295572,-6.06323146646807,"KDELR2"
"X55019_s_at",-0.422688351191962,11.5617546172993,-0.718277036482759,0.487562044200386,0.786301745129978,-6.06351439896927,"CHRND"
"M11433_at",-0.408432597210286,10.3856514647461,-0.718257173546977,0.487573811973101,0.786301745129978,-6.06352878164546,"RBP1"
"M94046_at",-0.0996756975537529,12.8674480758561,-0.717913447126603,0.487777479989463,0.786450805821095,-6.06377761546842,"MAZ"
"L25878_s_at",-0.41580750489492,10.4684584010484,-0.71759994589537,0.487963284365817,0.786571003298297,-6.06400447411235,"EPHX1"
"X90872_at",1.05764212189705,8.69487465690479,0.716979865002354,0.488330919173562,0.786984180204487,-6.06445291786671,"TMED9"
"HG4011-HT4804_s_at",1.08005590027355,9.43882071378346,0.716742699211358,0.488471575553989,0.787031458333342,-6.06462434360359,""
"U79259_at",0.408668839448223,11.0329094227498,0.716025533615501,0.488897057968809,0.787537525595689,-6.06514240458128,"AHDC1"
"U50822_rna1_s_at",-0.823203199542085,5.18748530204194,-0.715683150216863,0.489100268684227,0.787685398541568,-6.0653895669816,"NEUROD1"
"AB000464_at",-0.447908979256162,11.2446101468721,-0.71523637247859,0.489365517385129,0.787933092214271,-6.06571192893476,"NOP14-AS1"
"X63454_at",0.726939244502751,6.28779364190968,0.714714950501064,0.489675193579456,0.78825219002886,-6.06608791747123,"FGF6"
"Z72499_at",-0.455717681213804,9.89428535611194,-0.714346864704067,0.489893874792172,0.788424697195687,-6.06635318791318,"USP7"
