Gene_Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
CLRN3,0.143833749999999,3.48635571428571,2.47372322617529,0.0174261500217331,0.062278638726128,-3.9316540746718
SURF6,0.0845887499999991,6.97047142857143,2.47362657345204,0.0174302593567117,0.0622901682686418,-3.93186525116901
KIF2A,0.158713888888892,11.5365047619048,2.47353208968993,0.0174342773252445,0.0622982134073884,-3.93207168275382
OTTHUMG00000020115;RP11-158D2.2,0.118491666666668,4.35042119047619,2.47329689761,0.0174442826355305,0.0623244918337057,-3.93258551347854
MAGEA2;MAGEA2B,-0.170664722222222,5.33382619047619,-2.47310683010989,0.0174523721077387,0.0623439184557825,-3.93300073263627
SEMA4D,0.177902638888888,7.21390976190476,2.47283079223311,0.0174641266327995,0.0623827484437482,-3.93360371923835
LOC128322;NUTF2,-0.122911111111117,11.2331428571429,-2.47268079188156,0.0174705171128714,0.0623947868202748,-3.93393136408839
SLC52A2,-0.0686662499999997,7.12670547619048,-2.47245761216149,0.0174800291890991,0.0624142624931819,-3.93441882673561
UBE2E2,-0.0751134722222231,7.88951023809524,-2.47235366340762,0.0174844611622059,0.0624226584599533,-3.93464585736964
SCP2D1,0.27677138888889,3.21050119047619,2.47230039979937,0.0174867325117567,0.0624255548937798,-3.93476218568905
SSX4;SSX4B,0.0995225000000013,3.65877666666667,2.47212060645678,0.0174944015166535,0.0624497711155577,-3.93515484255912
MIR181A1HG;OTTHUMG00000035888;RP11-31E23.1,0.35649763888889,6.31191404761905,2.47199911528696,0.0174995853964416,0.0624587914830331,-3.93542015924113
AARSD1;PTGES3L;PTGES3L-AARSD1,0.0630415277777763,6.27015761904762,2.47186409368178,0.0175053482389743,0.0624761980696954,-3.93571501274527
AC068535.4;OTTHUMG00000153051,0.139642777777779,3.5788380952381,2.47154322466914,0.0175190501251598,0.0625219357308156,-3.93641566240118
RNA5SP417,0.151243888888891,8.37505285714286,2.47144096880468,0.0175234187436638,0.0625320402135859,-3.93663893406713
CTB-49A3.5;OTTHUMG00000162728,0.185901944444442,5.02046023809524,2.47143544302514,0.0175236548465196,0.0625320402135859,-3.93665099919347
ELL3,0.0630747222222228,4.65325047619048,2.47134031067438,0.0175277200686603,0.0625433820280374,-3.93685871040874
PPP2R5B,0.190839305555556,8.29510547619048,2.47072897065685,0.0175538644488551,0.0626176622421149,-3.9381933629053
LSM12,-0.0942999999999987,10.9919142857143,-2.4705245267972,0.0175626155255787,0.0626457101163517,-3.93863964136696
SSX9,0.0970162500000011,3.46226785714286,2.4700363853266,0.0175835260938361,0.062710782376636,-3.93970508900292
DNAJC3,-0.357637499999999,8.41829404761905,-2.46990699288667,0.0175890726782708,0.0627210483131765,-3.93998748255328
