"Gene_Symbol","logFC","adjPval"
"TPMT",1.30166716182792,0.000219341479252543
"IGHV4-39",1.29985410304587,0.0280134290821928
"IGHM",1.29236886645629,0.235709943629047
"IGF2BP2",1.28669590047554,0.0067522182589861
"F10",1.28245517580098,0.00755481266230676
"PKP2",1.2791463962146,0.386220000122621
"KRT9",1.27721266091493,0.225771112132709
"KRT1",1.2758049850298,0.211068198871781
"CPN1",1.26432598972916,0.00330686927849181
"HMBS",1.25749744528637,0.0154716322098816
"CAVIN3",1.24783779762728,0.366168368444733
"IGHV5-51",1.24698495648277,0.017947266156143
"EPB41",1.24502383589909,0.0556418828747496
"APOM",1.24403726244208,0.0887474625078994
"CAT",1.24280285875117,0.104209879346825
"HLA-A",1.23900144719236,0.0713154821343974
"C4BPB",1.23368680459927,0.00855257214212321
"ASPA",1.22878342222498,0.00742749604387175
"FMOD",1.2176288494823,0.568475306225087
"C7",1.21163987076871,0.112025543529918
"IGHV3-15",1.21116684280848,0.118245850653984
"PROS1",1.20563507893898,0.025478408426238
"SPP1",1.20446555635653,0.00346442340863695
"TNC",1.19588279333088,0.0757835550617085
"CD9",1.18182933052165,0.082948874480272
"ICAM1",1.16799295946168,0.0561499081258633
"HLA-DRA",1.16796387172725,0.0191366059493191
"TSPAN8",1.16294056347357,0.0981984340873948
"COMMD2",1.16206320386137,0.0288872143052013
"LMNA",1.15826774668004,0.105394100682812
"DMD",1.15648257909488,0.10465301840597
"STAB1",1.15208495486755,0.0387836249380782
"THNSL2",1.14406325077796,0.103777171245686
"CD5L",1.13894697700355,0.168728279279519
"ADA",1.13648398316658,0.00330686927849181
"EMILIN3",1.13582069907298,0.239443453038519
"BPGM",1.13545643585067,0.0415315424979142
"TNXB",1.13511804065303,0.423403900234933
"COL8A1",1.12662330346389,0.272221084759114
"MBP",1.1251256270689,0.119553998868168
"CAVIN1",1.1228250030647,0.368137922440426
"MATN2",1.11548765064844,0.332758587995897
"IGHV3-9",1.11529824219751,0.136531824574995
"CYBA",1.10678959978315,0.101348710236483
"FLNB",1.09910784037274,0.0226018981820816
"SERPINA6",1.09588911121634,0.0239826465038422
"NGFR",1.09363938547374,0.0628297781565572
"H1-5",1.09117652902483,0.0923116847319481
"NPL",1.08900595443645,0.0450594252931213
"F12",1.08433240793916,0.307584435048149
"MYO1C",1.08363928829168,0.23100703156171
"COL3A1",1.07567817855833,0.26479857768431
"CNTF",1.07477320806596,0.0745234701733215
"ALDH1A3",1.07348450746514,0.119176006877083
"HAAO",1.07273737779702,0.114003312270536
"AKR1B1",1.06844459529844,0.00697376112500967
"NEFH",1.04033938567089,0.0918629889875296
"IGLV9-49",1.04000911172791,0.146811874430129
"APOE",1.03472802530852,0.101861590025762
"CLIC2",1.02597653438972,0.0553719414123515
"TF",1.02360213521185,0.129933911098178
"IGHV5-10-1",1.01872338603682,0.0962324147973978
"CMTM6",1.01339477968832,0.12144802069623
"IGHV1-69",1.01136580187358,0.047062649068382
"AHNAK2",1.00818642889371,0.05926357514668
"CFHR1",0.999803996573943,0.246244922131446
"JPT2",0.996504569628721,0.107865037895592
"VIM",0.996401194899896,0.256912623195711
"NES",0.993461264451643,0.310059345564056
"GLIPR2",0.992314655947764,0.0632121914884879
"IL4I1",0.989414756282906,0.0665936224920696
"COL14A1",0.987892301615306,0.563085620897625
"SGCD",0.981576244092416,0.226577567304955
"CAV1",0.979202467136615,0.449959934088225
"SRPX2",0.964336360415028,0.225497079027393
"IGKV3-20",0.958850821441088,0.0715230274352713
"CALD1",0.957277215972312,0.337533656363654
"FPGT",0.95362134820768,0.00271498875290352
"TNFSF13",0.951603749971445,0.0377873195640533
"DAG1",0.94794381897078,0.105344571583059
"ALDH3B1",0.941489863129087,0.065806611539772
"CLU",0.934166593459706,0.20452750905071
"SFN",0.927569860370836,0.196938531755754
"MGLL",0.923456748998372,0.0852304242597405
"LMO7",0.91995737008591,0.193920362937254
"NID1",0.918390261491489,0.253824780322489
"FAM107B",0.917556852886067,0.154581275136179
"AFM",0.915257831614401,0.366168368444733
"TIMP3",0.913557133560461,0.421888241902443
"SLC2A1",0.913102243710144,0.185929306748247
"WNT6",0.911789361508662,0.299504403010123
"SERPINA4",0.91042509494396,0.268210709189388
"TIAM2",0.909065540853633,0.0787922761553669
"PIR",0.905996771891932,0.00435423525995519
"MYO1B",0.900763873382827,0.33036324262711
"COL2A1",0.897773194873255,0.186156880629257
"MMP2",0.896807856234442,0.093575166726277
